중앙선거관리위원회 선거통계시스템,,,,,,,,,,,,,,,,,,
개표현황(투표구별),,,,,,,,,,,,,,,,,,
[제20대][국회의원선거][국회의원선거][서울특별시][종로구],,,,,,,,,,,,,,,,,,
선거구명,투표구명,선거인수,투표수,후보자별 득표수,,,,,,,,,,,,"무효
투표수",기권수,
,,,,"새누리당
오세훈","더불어민주당
정세균","국민의당
박태순","정의당
윤공규","노동당
김한울",,"녹색당
하승수","진리대한당
이석인","한나라당
박종구","무소속
김대한","무소속
이원옥",계,,,
종로구,계,"134,507","84,893","33,490","44,342","4,725",458,353,,590,62,56,123,100,"84,299",594,"49,614",
  ,거소·선상투표,205,201,113,58,13,1,5,,1,0,2,0,1,194,7,4,
  ,관외사전투표,"5,694","5,694","2,164","2,897",396,49,40,,45,6,12,23,13,"5,645",49,0,
  ,국외부재자투표,848,482,162,274,25,6,3,,6,0,3,2,0,481,1,366,
  ,소계,"10,745","7,214","2,852","3,760",370,36,53,,72,0,1,7,9,"7,160",54,"3,531",
  ,관내사전투표,"1,148","1,147",430,630,52,5,10,,9,0,0,2,0,"1,138",9,1,
  ,청운효자동제1투,"3,064","1,827",764,907,101,9,11,,19,0,1,0,1,"1,813",14,"1,237",
  ,청운효자동제2투,"3,287","2,182",952,"1,043",105,13,20,,24,0,0,3,5,"2,165",17,"1,105",
  ,청운효자동제3투,"3,246","2,058",706,"1,180",112,9,12,,20,0,0,2,3,"2,044",14,"1,188",
  ,소계,"8,199","5,280","2,486","2,383",263,28,24,,42,5,4,7,9,"5,251",29,"2,919",
  ,관내사전투표,"1,182","1,180",477,614,55,8,4,,13,1,0,0,3,"1,175",5,2,
  ,사직동제1투,"3,002","1,556",614,792,101,13,12,,11,0,1,4,3,"1,551",5,"1,446",
  ,사직동제2투,"4,015","2,544","1,395",977,107,7,8,,18,4,3,3,3,"2,525",19,"1,471",
  ,소계,"2,442","1,518",680,707,85,11,6,,16,0,2,0,1,"1,508",10,924,
  ,관내사전투표,281,281,120,143,6,2,1,,6,0,0,0,1,279,2,0,
  ,삼청동투표소,"2,161","1,237",560,564,79,9,5,,10,0,2,0,0,"1,229",8,924,
  ,소계,"8,449","5,396","2,175","2,806",252,36,31,,55,2,3,2,3,"5,365",31,"3,053",
  ,관내사전투표,738,737,288,400,28,3,4,,8,0,0,0,0,731,6,1,
  ,부암동제1투,"3,005","1,727",675,922,79,11,12,,19,1,1,1,0,"1,721",6,"1,278",
  ,부암동제2투,"2,439","1,547",616,804,72,13,10,,17,1,2,1,2,"1,538",9,892,
  ,부암동제3투,"2,267","1,385",596,680,73,9,5,,11,0,0,0,1,"1,375",10,882,
  ,소계,"15,372","9,780","4,619","4,571",387,38,22,,55,7,7,13,7,"9,726",54,"5,592",
  ,관내사전투표,"1,615","1,614",773,742,71,7,4,,13,1,1,0,0,"1,612",2,1,
