중앙선거관리위원회 선거통계시스템,,,,,,,,,,,,,
개표현황(투표구별),,,,,,,,,,,,,
[제21대][국회의원선거][국회의원선거][대구광역시][서구],,,,,,,,,,,,,
선거구명,투표구명,선거인수,투표수,후보자별 득표수,,,,,,,"무효
투표수",기권수,
,,,,"더불어민주당
윤선진","미래통합당
김상훈",,"정의당
장태수","국가혁명배당금당
박수동","무소속
서중현",계,,,
서구,계,"157,355","100,090","17,580","66,574",,"4,313",833,"9,417","98,717","1,373","57,265",
  ,거소·선상투표,215,196,34,123,,8,5,21,191,5,19,
  ,관외사전투표,"7,166","7,165","2,123","3,843",,341,79,637,"7,023",142,1,
  ,국외부재자투표,214,55,34,15,,3,0,2,54,1,159,
  ,국외부재자투표(공관),0,1,0,1,,0,0,0,1,0,-1,
  ,소계,"7,587","4,561",839,"3,178",,138,52,311,"4,518",43,"3,026",
  ,관내사전투표,"1,643","1,643",381,"1,076",,48,9,117,"1,631",12,0,
  ,내당1동제1투,"3,011","1,545",215,"1,156",,38,22,102,"1,533",12,"1,466",
  ,내당1동제2투,"2,933","1,373",243,946,,52,21,92,"1,354",19,"1,560",
  ,소계,"8,863","5,360",874,"3,769",,129,65,432,"5,269",91,"3,503",
  ,관내사전투표,"1,408","1,408",298,939,,27,24,100,"1,388",20,0,
  ,내당2·3동제1투,"2,687","1,432",208,"1,041",,32,11,112,"1,404",28,"1,255",
  ,내당2·3동제2투,"2,293","1,171",155,861,,33,14,91,"1,154",17,"1,122",
  ,내당2·3동제3투,"2,475","1,349",213,928,,37,16,129,"1,323",26,"1,126",
  ,소계,"14,615","9,308","1,748","6,420",,369,63,606,"9,206",102,"5,307",
  ,관내사전투표,"3,033","3,032",706,"1,951",,131,18,198,"3,004",28,1,
  ,내당4동제1투,"2,083","1,021",190,670,,48,6,97,"1,011",10,"1,062",
  ,내당4동제2투,"2,468","1,371",220,"1,005",,54,7,70,"1,356",15,"1,097",
  ,내당4동제3투,"2,625","1,487",248,"1,071",,55,10,89,"1,473",14,"1,138",
  ,내당4동제4투,"2,045","1,127",174,824,,35,13,66,"1,112",15,918,
  ,내당4동제5투,"2,361","1,270",210,899,,46,9,86,"1,250",20,"1,091",
  ,소계,"8,907","5,409",746,"3,531",,237,44,770,"5,328",81,"3,498",
  ,관내사전투표,"2,056","2,056",334,"1,324",,94,14,265,"2,031",25,0,
  ,비산1동제1투,"2,061",969,110,625,,45,8,162,950,19,"1,092",
  ,비산1동제2투,"1,709",801,110,513,,33,11,120,787,14,908,
  ,비산1동제3투,"1,516",766,87,527,,36,2,96,748,18,750,
  ,비산1동제4투,"1,565",817,105,542,,29,9,127,812,5,748,
  ,소계,"8,711","5,252",693,"3,405",,353,38,663,"5,152",100,"3,459",
  ,관내사전투표,"1,579","1,579",277,966,,121,12,184,"1,560",19,0,
  ,비산2·3동제1투,"2,482","1,423",159,933,,100,11,188,"1,391",32,"1,059",
  ,비산2·3동제2투,"2,347","1,188",125,777,,74,8,179,"1,163",25,"1,159",
  ,비산2·3동제3투,"2,303","1,062",132,729,,58,7,112,"1,038",24,"1,241",
  ,소계,"8,872","5,549",957,"3,701",,251,36,525,"5,470",79,"3,323",
  ,관내사전투표,"1,558","1,557",323,"1,001",,65,8,139,"1,536",21,1,
  ,비산4동제1투,"2,527","1,326",202,915,,56,11,124,"1,308",18,"1,201",
  ,비산4동제2투,"2,267","1,160",195,765,,68,8,109,"1,145",15,"1,107",
  ,비산4동제3투,"2,520","1,506",237,"1,020",,62,9,153,"1,481",25,"1,014",
  ,소계,"5,881","3,723",568,"2,592",,136,28,348,"3,672",51,"2,158",
  ,관내사전투표,"1,566","1,566",264,"1,085",,55,7,134,"1,545",21,0,
  ,비산5동제1투,"2,027","1,007",140,695,,43,8,107,993,14,"1,020",
  ,비산5동제2투,"2,288","1,150",164,812,,38,13,107,"1,134",16,"1,138",
  ,소계,"7,063","4,439",648,"2,913",,265,27,527,"4,380",59,"2,624",
  ,관내사전투표,"1,515","1,515",244,995,,95,10,155,"1,499",16,0,
  ,비산6동제1투,"2,790","1,452",195,975,,75,9,178,"1,432",20,"1,338",
  ,비산6동제2투,"2,758","1,472",209,943,,95,8,194,"1,449",23,"1,286",
  ,소계,"9,731","5,791",830,"4,123",,185,58,509,"5,705",86,"3,940",
  ,관내사전투표,"1,523","1,523",278,"1,026",,50,7,146,"1,507",16,0,
  ,비산7동제1투,"1,815",800,127,603,,15,6,37,788,12,"1,015",
  ,비산7동제2투,"1,947","1,128",125,817,,55,14,102,"1,113",15,819,
  ,비산7동제3투,"2,069","1,016",144,705,,28,14,109,"1,000",16,"1,053",
  ,비산7동제4투,"2,377","1,324",156,972,,37,17,115,"1,297",27,"1,053",
  ,소계,"7,243","4,429",648,"2,885",,256,34,544,"4,367",62,"2,814",
  ,관내사전투표,"1,627","1,627",274,"1,040",,90,4,204,"1,612",15,0,
  ,평리1동제1투,"1,655",879,102,589,,52,9,116,868,11,776,
  ,평리1동제2투,"1,904",925,119,596,,70,13,109,907,18,979,
  ,평리1동제3투,"2,057",998,153,660,,44,8,115,980,18,"1,059",
  ,소계,"7,185","4,673",866,"3,063",,187,36,466,"4,618",55,"2,512",
  ,관내사전투표,"1,550","1,549",346,962,,55,8,157,"1,528",21,1,
  ,평리2동제1투,"3,404","2,001",355,"1,344",,90,13,176,"1,978",23,"1,403",
  ,평리2동제2투,"2,231","1,123",165,757,,42,15,133,"1,112",11,"1,108",
  ,소계,"9,456","5,908",984,"3,866",,335,36,614,"5,835",73,"3,548",
  ,관내사전투표,"2,003","2,003",444,"1,200",,140,9,194,"1,987",16,0,
  ,평리3동제1투,"1,816",889,126,589,,46,4,106,871,18,927,
  ,평리3동제2투,"2,414","1,248",172,874,,57,10,122,"1,235",13,"1,166",
  ,평리3동제3투,"2,139","1,209",146,849,,57,10,126,"1,188",21,930,
  ,평리3동제4투,"1,084",559,96,354,,35,3,66,554,5,525,
  ,소계,"14,904","9,138","1,633","6,121",,343,73,868,"9,038",100,"5,766",
  ,관내사전투표,"2,374","2,374",565,"1,463",,94,12,215,"2,349",25,0,
  ,평리4동제1투,"3,445","1,964",342,"1,343",,63,13,187,"1,948",16,"1,481",
  ,평리4동제2투,"2,857","1,442",202,"1,014",,37,12,161,"1,426",16,"1,415",
  ,평리4동제3투,"2,966","1,594",246,"1,084",,63,19,157,"1,569",25,"1,372",
  ,평리4동제4투,"3,262","1,764",278,"1,217",,86,17,148,"1,746",18,"1,498",
  ,소계,"1,882","1,111",195,756,,48,12,89,"1,100",11,771,
  ,관내사전투표,456,456,107,288,,23,4,31,453,3,0,
  ,평리5동투표소,"1,426",655,88,468,,25,8,58,647,8,771,
  ,소계,"4,830","2,937",435,"2,070",,71,31,289,"2,896",41,"1,893",
  ,관내사전투표,"1,081","1,081",178,759,,22,9,102,"1,070",11,0,
  ,평리6동제1투,"1,999",951,141,650,,28,15,101,935,16,"1,048",
  ,평리6동제2투,"1,750",905,116,661,,21,7,86,891,14,845,
  ,소계,"16,920","10,855","2,086","7,283",,494,79,777,"10,719",136,"6,065",
  ,관내사전투표,"3,186","3,186",769,"1,975",,163,13,233,"3,153",33,0,
  ,상중이동제1투,"1,379",468,68,326,,22,3,45,464,4,911,
  ,상중이동제2투,"2,749","1,498",237,"1,067",,45,24,100,"1,473",25,"1,251",
  ,상중이동제3투,"2,656","1,531",281,"1,021",,92,5,111,"1,510",21,"1,125",
  ,상중이동제4투,"2,371","1,319",212,910,,52,16,112,"1,302",17,"1,052",
  ,상중이동제5투,"3,325","2,155",436,"1,452",,101,13,135,"2,137",18,"1,170",
  ,상중이동제6투,586,318,36,248,,7,2,22,315,3,268,
  ,상중이동제7투,668,380,47,284,,12,3,19,365,15,288,
  ,소계,"7,110","4,227",639,"2,913",,164,37,419,"4,172",55,"2,883",
