중앙선거관리위원회 선거통계시스템,,,,,,,,,,,,
개표현황(투표구별),,,,,,,,,,,,
[제21대][국회의원선거][국회의원선거][전라북도][군산시],,,,,,,,,,,,
선거구명,투표구명,선거인수,투표수,후보자별 득표수,,,,,,"무효
투표수",기권수,
,,,,"더불어민주당
신영대","미래통합당
이근열",,"국가혁명배당금당
최순정","무소속
김관영",계,,,
군산시,계,"225,593","151,665","88,857","5,319",,714,"55,082","149,972","1,693","73,928",
  ,거소·선상투표,742,699,337,46,,12,276,671,28,43,
  ,관외사전투표,"9,602","9,598","5,906",559,,63,"2,867","9,395",203,4,
  ,국외부재자투표,386,92,69,10,,0,12,91,1,294,
  ,국외부재자투표(공관),0,2,1,0,,0,1,2,0,-2,
  ,소계,"3,368","2,484","1,494",58,,11,903,"2,466",18,884,
  ,관내사전투표,"1,760","1,760","1,057",30,,10,654,"1,751",9,0,
  ,옥구읍투표소,"1,608",724,437,28,,1,249,715,9,884,
  ,소계,"4,320","3,156","1,712",84,,13,"1,320","3,129",27,"1,164",
  ,관내사전투표,"2,093","2,093","1,142",33,,6,896,"2,077",16,0,
  ,옥산면투표소,"2,227","1,063",570,51,,7,424,"1,052",11,"1,164",
  ,소계,"2,726","2,045",754,33,,19,"1,181","1,987",58,681,
  ,관내사전투표,"1,391","1,391",490,16,,11,834,"1,351",40,0,
  ,회현면투표소,"1,335",654,264,17,,8,347,636,18,681,
  ,소계,"2,527","1,798",903,71,,12,779,"1,765",33,729,
  ,관내사전투표,"1,183","1,182",624,25,,2,515,"1,166",16,1,
  ,임피면투표소,"1,344",616,279,46,,10,264,599,17,728,
  ,소계,"2,335","1,526",890,60,,13,526,"1,489",37,809,
  ,관내사전투표,861,861,494,31,,7,312,844,17,0,
  ,서수면투표소,"1,474",665,396,29,,6,214,645,20,809,
  ,소계,"4,803","3,291","1,840",115,,12,"1,273","3,240",51,"1,512",
  ,관내사전투표,"2,164","2,164","1,185",63,,3,881,"2,132",32,0,
  ,대야면제1투,"1,262",522,307,23,,7,180,517,5,740,
  ,대야면제2투,"1,377",605,348,29,,2,212,591,14,772,
  ,소계,"2,737","1,882","1,003",66,,14,778,"1,861",21,855,
  ,관내사전투표,"1,203","1,203",644,36,,7,506,"1,193",10,0,
  ,개정면투표소,"1,534",679,359,30,,7,272,668,11,855,
  ,소계,"2,817","2,052","1,112",76,,8,829,"2,025",27,765,
  ,관내사전투표,"1,320","1,320",717,44,,3,538,"1,302",18,0,
  ,성산면투표소,"1,497",732,395,32,,5,291,723,9,765,
  ,소계,"2,099","1,502",826,62,,5,584,"1,477",25,597,
  ,관내사전투표,935,935,504,26,,3,383,916,19,0,
  ,나포면투표소,"1,164",567,322,36,,2,201,561,6,597,
  ,소계,"2,613","1,570",829,38,,9,665,"1,541",29,"1,043",
  ,관내사전투표,358,358,206,5,,1,144,356,2,0,
  ,옥도면제1투,443,205,142,2,,2,57,203,2,238,
  ,옥도면제2투,95,56,40,0,,0,11,51,5,39,
  ,옥도면제3투,205,105,63,10,,2,28,103,2,100,
  ,옥도면제4투,154,63,30,1,,1,25,57,6,91,
  ,옥도면제5투,213,144,67,1,,1,74,143,1,69,
  ,옥도면제6투,692,398,178,11,,2,201,392,6,294,
  ,옥도면제7투,58,26,10,0,,0,16,26,0,32,
  ,옥도면제8투,142,73,37,1,,0,33,71,2,69,
  ,옥도면제9투,40,27,16,3,,0,8,27,0,13,
  ,옥도면제10투,213,115,40,4,,0,68,112,3,98,
  ,소계,"3,005","2,190","1,243",60,,6,826,"2,135",55,815,
  ,관내사전투표,"1,428","1,428",814,31,,6,549,"1,400",28,0,
  ,옥서면투표소,"1,577",762,429,29,,0,277,735,27,815,
  ,소계,"2,679","1,910","1,090",45,,5,745,"1,885",25,769,
  ,관내사전투표,"1,343","1,343",754,21,,2,548,"1,325",18,0,
  ,해신동투표소,"1,336",567,336,24,,3,197,560,7,769,
  ,소계,"5,482","3,635","1,968",107,,17,"1,509","3,601",34,"1,847",
  ,관내사전투표,"2,092","2,091","1,141",39,,9,889,"2,078",13,1,
  ,월명동제1투,"1,728",709,346,37,,4,314,701,8,"1,019",
  ,월명동제2투,"1,662",835,481,31,,4,306,822,13,827,
  ,소계,"6,443","4,732","2,666",158,,27,"1,837","4,688",44,"1,711",
  ,관내사전투표,"3,194","3,193","1,812",72,,17,"1,267","3,168",25,1,
  ,삼학동제1투,"1,402",645,348,41,,3,243,635,10,757,
  ,삼학동제2투,"1,847",894,506,45,,7,327,885,9,953,
  ,소계,"6,360","4,218","2,456",195,,15,"1,503","4,169",49,"2,142",
  ,관내사전투표,"1,923","1,922","1,131",52,,4,716,"1,903",19,1,
  ,신풍동제1투,"1,572",745,432,65,,6,231,734,11,827,
  ,신풍동제2투,"1,082",491,270,35,,0,176,481,10,591,
  ,신풍동제3투,"1,783","1,060",623,43,,5,380,"1,051",9,723,
  ,소계,"3,355","2,410","1,408",68,,15,896,"2,387",23,945,
