중앙선거관리위원회 선거통계시스템,,,,,,,,,,,,,,,,,,
개표현황(투표구별),,,,,,,,,,,,,,,,,,
[제21대][국회의원선거][국회의원선거][서울특별시][종로구],,,,,,,,,,,,,,,,,,
선거구명,투표구명,선거인수,투표수,후보자별 득표수,,,,,,,,,,,,,"무효
투표수",기권수
,,,,"더불어민주당
이낙연","미래통합당
황교안","우리공화당
한민호","민중당
오인환","가자!평화인권당
이정희","공화당
신동욱",,"국가혁명배당금당
박준영","국민새정당
백병찬","민중민주당
박소현","한나라당
김형석","무소속
김용덕",계,,
종로구,계,"134,516","95,239","54,902","37,594",417,276,139,57,,194,65,63,71,260,"94,038","1,201","39,277"
  ,거소·선상투표,251,237,135,81,1,0,1,0,,5,0,0,0,3,226,11,14
  ,관외사전투표,"10,007","9,994","6,472","3,169",31,34,15,7,,25,7,10,11,42,"9,823",171,13
  ,국외부재자투표,"1,177",321,232,80,1,0,0,1,,0,0,0,1,2,317,4,856
  ,국외부재자투표(공관),0,12,11,1,0,0,0,0,,0,0,0,0,0,12,0,-12
  ,소계,"9,661","7,013","4,151","2,690",22,19,16,6,,15,7,5,4,18,"6,953",60,"2,648"
  ,관내사전투표,"3,185","3,184","2,253",878,5,7,4,1,,9,1,1,1,7,"3,167",17,1
  ,청운효자동제1투,"2,253","1,261",586,634,6,5,5,1,,2,2,1,0,3,"1,245",16,992
  ,청운효자동제2투,"2,077","1,220",576,606,6,3,2,2,,2,2,2,2,4,"1,207",13,857
  ,청운효자동제3투,"2,146","1,348",736,572,5,4,5,2,,2,2,1,1,4,"1,334",14,798
  ,소계,"7,751","5,452","2,620","2,682",32,10,10,2,,5,3,4,4,7,"5,379",73,"2,299"
  ,관내사전투표,"2,549","2,549","1,502","1,007",9,7,2,1,,4,2,3,0,1,"2,538",11,0
  ,사직동제1투,"2,169","1,064",485,536,10,2,4,1,,0,0,1,1,2,"1,042",22,"1,105"
  ,사직동제2투,"3,033","1,839",633,"1,139",13,1,4,0,,1,1,0,3,4,"1,799",40,"1,194"
  ,소계,"2,237","1,507",832,632,9,3,1,1,,3,0,2,3,3,"1,489",18,730
  ,관내사전투표,745,745,489,243,1,1,0,0,,1,0,1,1,2,739,6,0
  ,삼청동투표소,"1,492",762,343,389,8,2,1,1,,2,0,1,2,1,750,12,730
  ,소계,"7,850","5,577","3,101","2,340",38,12,1,3,,6,2,2,1,15,"5,521",56,"2,273"
  ,관내사전투표,"2,147","2,147","1,405",705,6,3,1,3,,2,0,1,0,2,"2,128",19,0
  ,부암동제1투,"2,287","1,260",631,591,7,3,0,0,,0,2,0,0,6,"1,240",20,"1,027"
  ,부암동제2투,"1,931","1,253",651,568,8,5,0,0,,2,0,1,0,6,"1,241",12,678
  ,부암동제3투,"1,485",917,414,476,17,1,0,0,,2,0,0,1,1,912,5,568
  ,소계,"14,595","10,441","4,891","5,316",56,18,14,3,,9,5,2,4,24,"10,342",99,"4,154"
  ,관내사전투표,"3,977","3,977","2,336","1,581",10,3,5,0,,3,3,1,1,7,"3,950",27,0
  ,평창동제1투,"2,166","1,177",484,661,11,1,3,0,,0,1,0,0,4,"1,165",12,989
  ,평창동제2투,"3,159","1,868",589,"1,235",15,4,3,1,,0,1,0,0,5,"1,853",15,"1,291"
  ,평창동제3투,"1,873","1,272",525,714,4,4,2,0,,3,0,0,2,3,"1,257",15,601
  ,평창동제4투,"1,795","1,206",590,574,11,5,1,2,,3,0,0,1,1,"1,188",18,589
  ,평창동제5투,"1,625",941,367,551,5,1,0,0,,0,0,1,0,4,929,12,684
  ,소계,"6,616","5,093","2,828","2,124",18,14,10,2,,13,2,4,1,12,"5,028",65,"1,523"
  ,관내사전투표,"2,453","2,451","1,569",829,7,7,2,0,,1,0,2,1,6,"2,424",27,2
  ,무악동제1투,"1,647","1,146",537,571,5,2,3,0,,3,1,2,0,4,"1,128",18,501
  ,무악동제2투,"2,516","1,496",722,724,6,5,5,2,,9,1,0,0,2,"1,476",20,"1,020"
  ,소계,"8,311","6,174","3,406","2,599",32,12,9,2,,9,4,2,2,15,"6,092",82,"2,137"
  ,관내사전투표,"2,572","2,572","1,667",858,6,5,3,1,,2,1,1,0,3,"2,547",25,0
  ,교남동제1투,"1,565",864,477,352,7,2,1,0,,4,2,0,0,5,850,14,701
  ,교남동제2투,"1,576",830,460,331,10,3,1,1,,1,0,0,2,2,811,19,746
  ,교남동제3투,"2,598","1,908",802,"1,058",9,2,4,0,,2,1,1,0,5,"1,884",24,690
  ,소계,"3,873","2,809","1,661","1,079",15,7,6,0,,4,3,1,2,5,"2,783",26,"1,064"
  ,관내사전투표,"1,589","1,588","1,030",527,6,4,1,0,,3,2,1,1,4,"1,579",9,1
  ,가회동투표소,"2,284","1,221",631,552,9,3,5,0,,1,1,0,1,1,"1,204",17,"1,063"
  ,소계,"6,167","3,465","1,809","1,531",24,14,4,5,,24,1,3,3,8,"3,426",39,"2,702"
  ,관내사전투표,"1,212","1,212",756,420,1,7,0,1,,7,1,2,2,4,"1,201",11,0
  ,종로1·2·3·4가동제1투,"2,283",854,356,462,7,4,3,1,,8,0,1,0,2,844,10,"1,429"
  ,종로1·2·3·4가동제2투,"2,672","1,399",697,649,16,3,1,3,,9,0,0,1,2,"1,381",18,"1,273"
  ,소계,"4,599","2,857","1,612","1,152",15,10,4,3,,8,4,4,3,7,"2,822",35,"1,742"
  ,관내사전투표,"1,199","1,199",773,394,5,6,1,2,,2,2,0,1,2,"1,188",11,0
  ,종로5·6가동제1투,"1,850",893,412,444,6,2,1,1,,4,2,4,2,2,880,13,957
  ,종로5·6가동제2투,"1,550",765,427,314,4,2,2,0,,2,0,0,0,3,754,11,785
  ,소계,"6,794","4,585","2,822","1,624",17,22,3,3,,7,5,3,4,9,"4,519",66,"2,209"
  ,관내사전투표,"2,144","2,144","1,479",615,6,9,1,1,,2,1,0,1,1,"2,116",28,0
  ,이화동제1투,"2,310","1,305",740,517,5,3,2,2,,2,2,2,3,3,"1,281",24,"1,005"
  ,이화동제2투,"2,340","1,136",603,492,6,10,0,0,,3,2,1,0,5,"1,122",14,"1,204"
  ,소계,"13,564","9,675","5,666","3,667",41,46,20,5,,20,6,13,8,29,"9,521",154,"3,889"
  ,관내사전투표,"4,338","4,334","2,888","1,329",10,13,8,1,,9,4,2,3,7,"4,274",60,4
  ,혜화동제1투,"2,242","1,396",761,584,4,8,3,2,,2,0,3,2,2,"1,371",25,846
  ,혜화동제2투,"2,243","1,207",616,547,3,5,3,1,,2,0,3,0,5,"1,185",22,"1,036"
  ,혜화동제3투,"1,945","1,139",531,562,10,11,2,0,,5,0,1,0,4,"1,126",13,806
  ,혜화동제4투,"1,430",845,472,331,5,4,1,1,,0,1,3,2,5,825,20,585
  ,혜화동제5투,"1,366",754,398,314,9,5,3,0,,2,1,1,1,6,740,14,612
  ,소계,"4,784","3,103","1,957","1,057",13,8,5,3,,8,4,1,4,9,"3,069",34,"1,681"
  ,관내사전투표,"1,469","1,469","1,012",424,4,3,0,1,,2,2,0,2,2,"1,452",17,0
  ,창신제1동제1투,"1,100",394,208,167,3,2,1,1,,3,1,0,2,1,389,5,706
  ,창신제1동제2투,"2,215","1,240",737,466,6,3,4,1,,3,1,1,0,6,"1,228",12,975
  ,소계,"7,287","4,600","3,015","1,448",9,9,6,7,,15,4,1,5,11,"4,530",70,"2,687"
  ,관내사전투표,"1,630","1,630","1,191",393,1,3,2,5,,6,1,0,1,7,"1,610",20,0
  ,창신제2동제1투,"1,606",755,469,265,1,2,0,0,,5,0,0,2,4,748,7,851
  ,창신제2동제2투,"2,135","1,234",709,486,3,2,3,2,,2,1,1,0,0,"1,209",25,901
  ,창신제2동제3투,"1,916",981,646,304,4,2,1,0,,2,2,0,2,0,963,18,935
  ,소계,"5,806","4,127","2,539","1,504",11,12,4,0,,2,3,3,5,7,"4,090",37,"1,679"
  ,관내사전투표,"1,806","1,806","1,241",531,5,6,3,0,,1,2,2,0,3,"1,794",12,0
  ,창신제3동제1투,"1,545",758,453,287,3,1,1,0,,1,1,0,2,0,749,9,787
  ,창신제3동제2투,"2,455","1,563",845,686,3,5,0,0,,0,0,1,3,4,"1,547",16,892
