중앙선거관리위원회 선거통계시스템,,,,,,,,,
개표현황(투표구별),,,,,,,,,
[제21대][국회의원선거][국회의원선거][서울특별시][중구],,,,,,,,,
선거구명,투표구명,선거인수,투표수,후보자별 득표수,,,,"무효
투표수",기권수
,,,,"더불어민주당
박성준","미래통합당
지상욱","국가혁명배당금당
이주양",계,,
중구성동구을,계,"183,779","124,700","64,071","58,300",937,"123,308","1,392","59,079"
  ,거소·선상투표,349,333,116,187,7,310,23,16
  ,관외사전투표,"12,393","12,387","7,310","4,773",105,"12,188",199,6
  ,국외부재자투표,"1,158",300,184,111,1,296,4,858
  ,국외부재자투표(공관),0,18,6,12,0,18,0,-18
  ,소계,"1,711","1,171",529,626,5,"1,160",11,540
  ,관내사전투표,424,424,233,189,1,423,1,0
  ,소공동제1투,392,179,68,103,2,173,6,213
  ,소공동제2투,895,568,228,334,2,564,4,327
  ,소계,"4,468","2,495","1,059","1,381",31,"2,471",24,"1,973"
  ,관내사전투표,"1,025","1,024",485,521,10,"1,016",8,1
  ,회현동제1투,"2,639","1,101",408,669,13,"1,090",11,"1,538"
  ,회현동제2투,804,370,166,191,8,365,5,434
  ,소계,"2,299","1,383",590,760,20,"1,370",13,916
  ,관내사전투표,640,640,343,283,9,635,5,0
  ,명동제1투,"1,522",692,237,436,11,684,8,830
  ,명동제2투,137,51,10,41,0,51,0,86
  ,소계,"3,860","2,664","1,414","1,194",20,"2,628",36,"1,196"
  ,관내사전투표,"1,373","1,373",846,503,9,"1,358",15,0
  ,필동제1투,"1,254",601,264,321,5,590,11,653
  ,필동제2투,"1,233",690,304,370,6,680,10,543
  ,소계,"4,071","2,649","1,425","1,155",27,"2,607",42,"1,422"
  ,관내사전투표,"1,146","1,146",704,419,11,"1,134",12,0
  ,장충동제1투,"1,532",729,320,385,8,713,16,803
  ,장충동제2투,"1,393",774,401,351,8,760,14,619
  ,소계,"3,999","2,282","1,032","1,205",14,"2,251",31,"1,717"
  ,관내사전투표,549,549,321,221,1,543,6,0
  ,광희동제1투,"1,632",680,314,348,7,669,11,952
  ,광희동제2투,"1,818","1,053",397,636,6,"1,039",14,765
  ,소계,"1,710","1,022",488,506,9,"1,003",19,688
  ,관내사전투표,444,444,245,191,4,440,4,0
  ,을지로동제1투,728,274,100,162,3,265,9,454
  ,을지로동제2투,538,304,143,153,2,298,6,234
  ,소계,"6,806","4,145","2,263","1,815",31,"4,109",36,"2,661"
  ,관내사전투표,"1,654","1,654","1,012",618,10,"1,640",14,0
  ,신당동제1투,"1,900",776,416,342,9,767,9,"1,124"
  ,신당동제2투,"1,474",772,360,402,3,765,7,702
  ,신당동제3투,"1,778",943,475,453,9,937,6,835
  ,소계,"11,741","7,419","4,035","3,205",88,"7,328",91,"4,322"
  ,관내사전투표,"2,626","2,626","1,645",919,31,"2,595",31,0
  ,다산동제1투,"2,325","1,110",547,538,11,"1,096",14,"1,215"
  ,다산동제2투,"2,412","1,335",649,652,20,"1,321",14,"1,077"
  ,다산동제3투,"2,077","1,059",558,478,11,"1,047",12,"1,018"
  ,다산동제4투,"2,301","1,289",636,618,15,"1,269",20,"1,012"
  ,소계,"14,541","10,034","5,017","4,835",72,"9,924",110,"4,507"
  ,관내사전투표,"3,412","3,412","1,988","1,382",14,"3,384",28,0
  ,약수동제1투,"1,427",631,295,314,10,619,12,796
  ,약수동제2투,"1,765","1,063",564,465,17,"1,046",17,702
  ,약수동제3투,"2,827","1,835",749,"1,064",7,"1,820",15,992
  ,약수동제4투,"2,692","1,793",752,"1,017",4,"1,773",20,899
  ,약수동제5투,"2,418","1,300",669,593,20,"1,282",18,"1,118"
  ,소계,"11,606","7,956","4,040","3,783",53,"7,876",80,"3,650"
  ,관내사전투표,"2,394","2,394","1,464",900,15,"2,379",15,0
  ,청구동제1투,"1,272",639,336,292,6,634,5,633
  ,청구동제2투,"1,748",793,413,358,8,779,14,955
  ,청구동제3투,"2,116","1,511",590,900,8,"1,498",13,605
  ,청구동제4투,"1,730","1,122",575,527,8,"1,110",12,608
  ,청구동제5투,"2,346","1,497",662,806,8,"1,476",21,849
  ,소계,"9,099","5,775","3,276","2,392",43,"5,711",64,"3,324"
  ,관내사전투표,"2,553","2,553","1,599",917,15,"2,531",22,0
  ,신당제5동제1투,"1,964",860,436,408,5,849,11,"1,104"
  ,신당제5동제2투,"2,830","1,385",694,657,17,"1,368",17,"1,445"
  ,신당제5동제3투,"1,752",977,547,410,6,963,14,775
  ,소계,"8,838","6,157","3,224","2,818",38,"6,080",77,"2,681"
  ,관내사전투표,"2,638","2,637","1,581","1,014",17,"2,612",25,1
  ,동화동제1투,"1,186",607,303,298,3,604,3,579
  ,동화동제2투,"1,675","1,037",473,538,7,"1,018",19,638
