중앙선거관리위원회 선거통계시스템,,,,,,,,,,,,,,
개표현황(투표구별),,,,,,,,,,,,,,
[제21대][국회의원선거][국회의원선거][서울특별시][용산구],,,,,,,,,,,,,,
선거구명,투표구명,선거인수,투표수,후보자별 득표수,,,,,,,,"무효
투표수",기권수,
,,,,"더불어민주당
강태웅","미래통합당
권영세","민생당
권혁문",,"정의당
정연욱","민중당
김은희","국가혁명배당금당
김희전",계,,,
용산구,계,"203,233","135,043","63,001","63,891","1,311",,"4,251",648,541,"133,643","1,400","68,190",
  ,거소·선상투표,259,246,105,100,8,,12,2,6,233,13,13,
  ,관외사전투표,"13,812","13,797","7,555","5,346",137,,395,100,52,"13,585",212,15,
  ,국외부재자투표,"1,588",400,190,193,3,,11,1,0,398,2,"1,188",
  ,국외부재자투표(공관),0,10,4,6,0,,0,0,0,10,0,-10,
  ,소계,"14,738","9,419","5,280","3,521",116,,310,51,50,"9,328",91,"5,319",
  ,관내사전투표,"3,987","3,987","2,548","1,231",28,,115,21,16,"3,959",28,0,
  ,후암동제1투,"3,329","1,526",802,626,23,,52,6,4,"1,513",13,"1,803",
  ,후암동제2투,"2,345","1,174",593,476,25,,41,13,8,"1,156",18,"1,171",
  ,후암동제3투,"2,500","1,344",635,597,21,,56,7,15,"1,331",13,"1,156",
  ,후암동제4투,"2,577","1,388",702,591,19,,46,4,7,"1,369",19,"1,189",
  ,소계,"8,837","5,494","2,920","2,156",78,,215,37,23,"5,429",65,"3,343",
  ,관내사전투표,"2,270","2,270","1,348",773,28,,85,9,4,"2,247",23,0,
  ,용산2가동제1투,"2,264",951,463,410,15,,30,15,6,939,12,"1,313",
  ,용산2가동제2투,"1,487",791,345,382,11,,37,4,3,782,9,696,
  ,용산2가동제3투,"1,354",744,389,298,13,,25,4,6,735,9,610,
  ,용산2가동제4투,"1,462",738,375,293,11,,38,5,4,726,12,724,
  ,소계,"7,100","3,963","2,147","1,501",49,,143,35,26,"3,901",62,"3,137",
  ,관내사전투표,"1,511","1,511",925,478,14,,49,15,12,"1,493",18,0,
  ,남영동제1투,"2,984","1,252",654,495,16,,50,11,9,"1,235",17,"1,732",
  ,남영동제2투,"2,605","1,200",568,528,19,,44,9,5,"1,173",27,"1,405",
  ,소계,"15,860","9,364","5,232","3,384",100,,388,95,35,"9,234",130,"6,496",
  ,관내사전투표,"3,051","3,050","1,969",861,27,,127,33,9,"3,026",24,1,
  ,청파동제1투,"1,546",802,377,356,10,,40,4,4,791,11,744,
  ,청파동제2투,"2,022","1,061",571,412,11,,32,8,5,"1,039",22,961,
  ,청파동제3투,"2,266","1,154",642,424,14,,42,6,7,"1,135",19,"1,112",
  ,청파동제4투,"2,637","1,315",698,519,15,,47,13,4,"1,296",19,"1,322",
  ,청파동제5투,"2,060","1,091",526,450,12,,63,20,2,"1,073",18,969,
  ,청파동제6투,"2,278",891,449,362,11,,37,11,4,874,17,"1,387",
  ,소계,"12,948","8,795","4,439","3,777",103,,336,36,32,"8,723",72,"4,153",
  ,관내사전투표,"3,459","3,459","2,036","1,245",28,,108,18,4,"3,439",20,0,
  ,원효로제1동제1투,"2,667","1,517",744,634,28,,76,10,10,"1,502",15,"1,150",
  ,원효로제1동제2투,"2,392","1,348",596,643,18,,62,3,13,"1,335",13,"1,044",
  ,원효로제1동제3투,"4,430","2,471","1,063","1,255",29,,90,5,5,"2,447",24,"1,959",
  ,소계,"11,211","7,612","3,865","3,252",76,,295,30,28,"7,546",66,"3,599",
  ,관내사전투표,"2,877","2,877","1,720",997,17,,107,11,5,"2,857",20,0,
  ,원효로제2동제1투,"3,486","1,934",864,963,21,,69,5,4,"1,926",8,"1,552",
  ,원효로제2동제2투,"2,427","1,419",613,693,10,,64,5,11,"1,396",23,"1,008",
  ,원효로제2동제3투,"2,421","1,382",668,599,28,,55,9,8,"1,367",15,"1,039",
  ,소계,"8,405","5,975","3,076","2,465",66,,255,30,31,"5,923",52,"2,430",
  ,관내사전투표,"2,641","2,641","1,602",887,27,,85,13,6,"2,620",21,0,
  ,효창동제1투,"2,614","1,455",674,645,20,,86,8,6,"1,439",16,"1,159",
  ,효창동제2투,"1,966","1,211",512,597,13,,61,8,9,"1,200",11,755,
  ,효창동제3투,"1,184",668,288,336,6,,23,1,10,664,4,516,
  ,소계,"10,302","7,044","3,651","2,849",88,,312,37,27,"6,964",80,"3,258",
  ,관내사전투표,"3,006","3,006","1,791","1,018",31,,114,16,11,"2,981",25,0,
  ,용문동제1투,"2,743","1,270",647,499,20,,73,8,5,"1,252",18,"1,473",
  ,용문동제2투,"2,175","1,147",532,506,22,,58,6,4,"1,128",19,"1,028",
  ,용문동제3투,"2,378","1,621",681,826,15,,67,7,7,"1,603",18,757,
  ,소계,"14,582","9,399","3,636","5,355",74,,200,27,34,"9,326",73,"5,183",
  ,관내사전투표,"2,506","2,506","1,272","1,107",32,,53,9,10,"2,483",23,0,
  ,한강로동제1투,"2,558","1,670",655,933,16,,44,6,5,"1,659",11,888,
  ,한강로동제2투,"2,236",855,291,536,3,,14,2,1,847,8,"1,381",
  ,한강로동제3투,"1,688","1,010",422,536,7,,27,4,6,"1,002",8,678,
  ,한강로동제4투,"3,700","2,393",609,"1,711",11,,34,4,9,"2,378",15,"1,307",
  ,한강로동제5투,"1,894",965,387,532,5,,28,2,3,957,8,929,
  ,소계,"22,197","15,904","5,065","10,355",74,,256,27,31,"15,808",96,"6,293",
  ,관내사전투표,"5,964","5,964","2,481","3,346",25,,74,5,8,"5,939",25,0,
  ,이촌제1동제1투,"3,403","2,075",430,"1,579",6,,37,6,5,"2,063",12,"1,328",
  ,이촌제1동제2투,"4,417","2,293",672,"1,528",16,,39,7,5,"2,267",26,"2,124",
  ,이촌제1동제3투,"2,874","1,955",450,"1,442",11,,37,3,4,"1,947",8,919,
  ,이촌제1동제4투,"3,197","2,152",750,"1,327",11,,40,3,5,"2,136",16,"1,045",
  ,이촌제1동제5투,"2,342","1,465",282,"1,133",5,,29,3,4,"1,456",9,877,
  ,소계,"7,304","5,126","2,322","2,531",51,,147,16,16,"5,083",43,"2,178",
  ,관내사전투표,"1,888","1,888","1,013",782,21,,45,5,5,"1,871",17,0,
  ,이촌제2동제1투,"1,787",916,379,480,4,,38,5,4,910,6,871,
  ,이촌제2동제2투,"1,547",906,320,537,7,,24,4,4,896,10,641,
  ,이촌제2동제3투,"2,082","1,416",610,732,19,,40,2,3,"1,406",10,666,
  ,소계,"6,203","3,557","1,425","1,952",21,,103,15,13,"3,529",28,"2,646",
  ,관내사전투표,"1,322","1,322",675,584,11,,40,5,1,"1,316",6,0,
  ,이태원제1동제1투,"3,189","1,416",472,871,6,,35,8,9,"1,401",15,"1,773",
  ,이태원제1동제2투,"1,692",819,278,497,4,,28,2,3,812,7,873,
  ,소계,"7,866","4,783","2,310","2,200",45,,141,21,18,"4,735",48,"3,083",
  ,관내사전투표,"1,797","1,797","1,018",690,14,,53,6,6,"1,787",10,0,
  ,이태원제2동제1투,"2,450","1,048",426,558,9,,35,5,7,"1,040",8,"1,402",
  ,이태원제2동제2투,"2,052","1,106",498,544,9,,29,1,2,"1,083",23,946,
  ,이태원제2동제3투,"1,567",832,368,408,13,,24,9,3,825,7,735,
  ,소계,"17,241","9,849","3,885","5,441",81,,278,31,48,"9,764",85,"7,392",
  ,관내사전투표,"3,287","3,287","1,598","1,529",24,,92,13,8,"3,264",23,0,
  ,한남동제1투,"2,702","1,546",573,874,18,,46,2,11,"1,524",22,"1,156",
  ,한남동제2투,"2,135",923,431,409,10,,46,6,9,911,12,"1,212",
  ,한남동제3투,"3,410","1,771",388,"1,326",7,,32,1,7,"1,761",10,"1,639",
  ,한남동제4투,"2,534","1,354",481,815,10,,29,6,4,"1,345",9,"1,180",
  ,한남동제5투,"3,173",968,414,488,12,,33,3,9,959,9,"2,205",
  ,소계,"10,056","6,806","2,236","4,231",55,,154,23,34,"6,733",73,"3,250",
