중앙선거관리위원회 선거통계시스템,,,,,,,,,,,,
개표현황(투표구별),,,,,,,,,,,,
[제21대][국회의원선거][국회의원선거][서울특별시][성동구],,,,,,,,,,,,
선거구명,투표구명,선거인수,투표수,후보자별 득표수,,,,,,"무효
투표수",기권수,
,,,,"더불어민주당
홍익표","미래통합당
진수희",,"정의당
정혜연","국가혁명배당금당
이정섭",계,,,
중구성동구갑,계,"192,161","131,200","70,387","53,107",,"5,465",786,"129,745","1,455","60,961",
  ,거소·선상투표,247,234,130,68,,15,8,221,13,13,
  ,관외사전투표,"12,785","12,777","7,648","4,202",,641,90,"12,581",196,8,
  ,국외부재자투표,"1,032",297,153,126,,14,1,294,3,735,
  ,국외부재자투표(공관),0,10,1,8,,1,0,10,0,-10,
  ,소계,"12,644","8,874","4,680","3,786",,299,33,"8,798",76,"3,770",
  ,관내사전투표,"3,710","3,709","2,236","1,332",,109,7,"3,684",25,1,
  ,응봉동제1투,"2,968","1,516",774,642,,72,10,"1,498",18,"1,452",
  ,응봉동제2투,"3,185","1,873",857,929,,62,9,"1,857",16,"1,312",
  ,응봉동제3투,"2,781","1,776",813,883,,56,7,"1,759",17,"1,005",
  ,소계,"13,204","8,503","4,194","3,866",,323,51,"8,434",69,"4,701",
  ,관내사전투표,"2,868","2,866","1,649","1,063",,120,15,"2,847",19,2,
  ,성수1가제1동제1투,"2,570","1,171",598,486,,60,16,"1,160",11,"1,399",
  ,성수1가제1동제2투,"3,608","2,131",858,"1,200",,54,6,"2,118",13,"1,477",
  ,성수1가제1동제3투,"2,170","1,296",563,660,,48,9,"1,280",16,874,
  ,성수1가제1동제4투,"1,988","1,039",526,457,,41,5,"1,029",10,949,
  ,소계,"12,263","8,589","4,593","3,517",,353,43,"8,506",83,"3,674",
  ,관내사전투표,"3,410","3,410","2,059","1,179",,136,15,"3,389",21,0,
  ,성수1가제2동제1투,"1,732",830,397,370,,39,8,814,16,902,
  ,성수1가제2동제2투,"1,140",622,316,265,,29,5,615,7,518,
  ,성수1가제2동제3투,"2,974","1,779",892,793,,78,6,"1,769",10,"1,195",
  ,성수1가제2동제4투,"3,007","1,948",929,910,,71,9,"1,919",29,"1,059",
  ,소계,"14,604","9,206","4,620","4,108",,323,65,"9,116",90,"5,398",
  ,관내사전투표,"3,766","3,764","2,197","1,385",,130,24,"3,736",28,2,
  ,성수2가제1동제1투,"2,565","1,232",529,635,,49,7,"1,220",12,"1,333",
  ,성수2가제1동제2투,"2,958","1,584",687,818,,50,11,"1,566",18,"1,374",
  ,성수2가제1동제3투,"2,656","1,207",557,587,,42,11,"1,197",10,"1,449",
  ,성수2가제1동제4투,"2,659","1,419",650,683,,52,12,"1,397",22,"1,240",
  ,소계,"9,683","6,596","3,286","2,934",,247,51,"6,518",78,"3,087",
  ,관내사전투표,"2,570","2,570","1,485",959,,87,11,"2,542",28,0,
  ,성수2가제3동제1투,"2,809","1,398",714,579,,71,17,"1,381",17,"1,411",
  ,성수2가제3동제2투,"2,816","1,850",677,"1,077",,57,15,"1,826",24,966,
  ,성수2가제3동제3투,"1,488",778,410,319,,32,8,769,9,710,
  ,소계,"21,808","14,483","7,371","6,301",,594,67,"14,333",150,"7,325",
  ,관내사전투표,"4,781","4,781","2,806","1,738",,185,15,"4,744",37,0,
  ,왕십리도선동제1투,"2,609","1,429",751,585,,70,7,"1,413",16,"1,180",
  ,왕십리도선동제2투,"2,989","1,595",865,617,,80,10,"1,572",23,"1,394",
  ,왕십리도선동제3투,"2,417","1,624",725,796,,63,11,"1,595",29,793,
  ,왕십리도선동제4투,"3,637","1,803",820,900,,58,7,"1,785",18,"1,834",
  ,왕십리도선동제5투,"2,835","1,711",747,861,,80,13,"1,701",10,"1,124",
  ,왕십리도선동제6투,"2,540","1,540",657,804,,58,4,"1,523",17,"1,000",
  ,소계,"14,194","9,443","5,464","3,472",,351,54,"9,341",102,"4,751",
  ,관내사전투표,"3,106","3,106","2,022",928,,115,17,"3,082",24,0,
  ,왕십리제2동제1투,"3,257","1,493",859,542,,58,14,"1,473",20,"1,764",
  ,왕십리제2동제2투,"2,639","1,428",718,612,,65,6,"1,401",27,"1,211",
  ,왕십리제2동제3투,"2,400","1,554",849,629,,49,14,"1,541",13,846,
  ,왕십리제2동제4투,"2,792","1,862","1,016",761,,64,3,"1,844",18,930,
  ,소계,"12,978","8,936","4,564","3,902",,351,41,"8,858",78,"4,042",
  ,관내사전투표,"3,409","3,409","2,027","1,234",,123,8,"3,392",17,0,
  ,행당제1동제1투,"2,310","1,213",512,624,,54,11,"1,201",12,"1,097",
  ,행당제1동제2투,"3,015","1,789",848,850,,66,9,"1,773",16,"1,226",
  ,행당제1동제3투,"1,948","1,033",550,414,,48,7,"1,019",14,915,
  ,행당제1동제4투,"2,296","1,492",627,780,,60,6,"1,473",19,804,
  ,소계,"18,801","13,263","7,043","5,499",,540,61,"13,143",120,"5,538",
  ,관내사전투표,"4,562","4,561","2,842","1,512",,161,13,"4,528",33,1,
  ,행당제2동제1투,"3,156","1,842",847,886,,92,6,"1,831",11,"1,314",
  ,행당제2동제2투,"2,731","1,558",821,652,,68,8,"1,549",9,"1,173",
  ,행당제2동제3투,"2,941","1,776",892,776,,72,15,"1,755",21,"1,165",
  ,행당제2동제4투,"2,618","1,757",759,893,,76,7,"1,735",22,861,
  ,행당제2동제5투,"2,793","1,769",882,780,,71,12,"1,745",24,"1,024",
  ,소계,"18,968","12,491","6,894","4,808",,553,85,"12,340",151,"6,477",
  ,관내사전투표,"3,753","3,753","2,406","1,156",,145,18,"3,725",28,0,
  ,마장동제1투,"2,345","1,240",627,537,,50,9,"1,223",17,"1,105",
  ,마장동제2투,"2,584","1,594",802,666,,86,9,"1,563",31,990,
  ,마장동제3투,"2,944","1,804",955,760,,68,10,"1,793",11,"1,140",
  ,마장동제4투,"2,366","1,256",663,511,,55,12,"1,241",15,"1,110",
  ,마장동제5투,"2,587","1,378",715,579,,45,17,"1,356",22,"1,209",
  ,마장동제6투,"2,389","1,466",726,599,,104,10,"1,439",27,923,
  ,소계,"9,435","5,758","3,005","2,250",,355,35,"5,645",113,"3,677",
  ,관내사전투표,"2,199","2,199","1,282",753,,123,9,"2,167",32,0,
  ,사근동제1투,"1,566",837,418,335,,57,8,818,19,729,
  ,사근동제2투,"2,158","1,072",595,377,,74,5,"1,051",21,"1,086",
  ,사근동제3투,"3,512","1,650",710,785,,101,13,"1,609",41,"1,862",
  ,소계,"9,104","5,528","3,126","2,070",,232,44,"5,472",56,"3,576",
  ,관내사전투표,"2,047","2,047","1,299",650,,65,13,"2,027",20,0,
  ,송정동제1투,"2,430","1,180",628,466,,64,8,"1,166",14,"1,250",
  ,송정동제2투,"2,249","1,115",602,443,,45,15,"1,105",10,"1,134",
  ,송정동제3투,"2,378","1,186",597,511,,58,8,"1,174",12,"1,192",
  ,소계,"10,411","6,203","3,611","2,189",,272,57,"6,129",74,"4,208",
  ,관내사전투표,"2,516","2,516","1,679",711,,92,18,"2,500",16,0,
  ,용답동제1투,"3,086","1,272",674,501,,69,12,"1,256",16,"1,814",
  ,용답동제2투,"2,684","1,324",701,525,,59,16,"1,301",23,"1,360",
  ,용답동제3투,"2,125","1,091",557,452,,52,11,"1,072",19,"1,034",
  ,잘못 투입·구분된 투표지,0,9,4,1,,1,0,6,3,-9,
,,,,,,,,,,,,
