중앙선거관리위원회 선거통계시스템,,,,,,,,,,,,,
개표현황(투표구별),,,,,,,,,,,,,
[제21대][국회의원선거][국회의원선거][서울특별시][광진구],,,,,,,,,,,,,
선거구명,투표구명,선거인수,투표수,후보자별 득표수,,,,,,,"무효
투표수",기권수,
  ,  ,  ,  ,"더불어민주당
전혜숙","미래통합당
김병민",,"민생당
임동순","정의당
오봉석","국가혁명배당금당
이승욱",계,  ,  ,
광진구갑,계,"156,559","106,506","56,608","42,822",,"1,842","3,690",492,"105,454","1,052","50,053",
  ,거소·선상투표,206,197,75,89,,12,11,3,190,7,9,
  ,관외사전투표,"10,763","10,756","6,555","3,413",,151,424,71,"10,614",142,7,
  ,국외부재자투표,783,206,146,52,,0,6,1,205,1,577,
  ,국외부재자투표(공관),0,4,1,3,,0,0,0,4,0,-4,
  ,소계,"13,396","8,441","4,664","3,115",,223,313,44,"8,359",82,"4,955",
  ,관내사전투표,"3,357","3,357","2,070","1,054",,83,121,7,"3,335",22,0,
  ,중곡제1동제1투,"2,978","1,423",739,562,,31,68,8,"1,408",15,"1,555",
  ,중곡제1동제2투,"1,962",982,496,392,,37,37,8,970,12,980,
  ,중곡제1동제3투,"2,785","1,500",763,621,,41,44,14,"1,483",17,"1,285",
  ,중곡제1동제4투,"2,314","1,179",596,486,,31,43,7,"1,163",16,"1,135",
  ,소계,"18,358","11,564","6,303","4,444",,223,436,42,"11,448",116,"6,794",
  ,관내사전투표,"4,054","4,054","2,535","1,271",,91,116,8,"4,021",33,0,
  ,중곡제2동제1투,"2,693","1,353",650,588,,36,59,6,"1,339",14,"1,340",
  ,중곡제2동제2투,"3,009","1,690",906,674,,18,67,7,"1,672",18,"1,319",
  ,중곡제2동제3투,"3,353","1,810",911,745,,35,88,10,"1,789",21,"1,543",
  ,중곡제2동제4투,"2,259","1,122",564,489,,12,41,5,"1,111",11,"1,137",
  ,중곡제2동제5투,"2,990","1,535",737,677,,31,65,6,"1,516",19,"1,455",
  ,소계,"14,300","8,866","4,667","3,578",,199,277,52,"8,773",93,"5,434",
  ,관내사전투표,"2,738","2,738","1,672",938,,42,61,9,"2,722",16,0,
  ,중곡제3동제1투,"2,258","1,302",639,566,,27,49,6,"1,287",15,956,
  ,중곡제3동제2투,"2,123","1,227",601,533,,39,32,5,"1,210",17,896,
  ,중곡제3동제3투,"2,300","1,222",595,517,,48,34,10,"1,204",18,"1,078",
  ,중곡제3동제4투,"2,684","1,314",627,567,,28,61,14,"1,297",17,"1,370",
  ,중곡제3동제5투,"2,197","1,063",533,457,,15,40,8,"1,053",10,"1,134",
  ,소계,"25,318","16,628","8,872","6,615",,362,539,99,"16,487",141,"8,690",
  ,관내사전투표,"5,412","5,411","3,437","1,654",,103,162,23,"5,379",32,1,
  ,중곡제4동제1투,"2,693","1,657",785,741,,45,62,9,"1,642",15,"1,036",
  ,중곡제4동제2투,"3,133","1,910","1,018",775,,40,51,9,"1,893",17,"1,223",
  ,중곡제4동제3투,"2,731","1,337",620,607,,33,55,10,"1,325",12,"1,394",
  ,중곡제4동제4투,"2,491","1,357",661,588,,31,46,13,"1,339",18,"1,134",
  ,중곡제4동제5투,"2,883","1,545",777,670,,24,52,7,"1,530",15,"1,338",
  ,중곡제4동제6투,"2,712","1,416",626,667,,36,53,17,"1,399",17,"1,296",
  ,중곡제4동제7투,"3,263","1,995",948,913,,50,58,11,"1,980",15,"1,268",
  ,소계,"10,092","6,832","3,742","2,577",,106,306,23,"6,754",78,"3,260",
  ,관내사전투표,"2,734","2,734","1,731",830,,41,99,5,"2,706",28,0,
  ,능동제1투,"2,099","1,074",515,466,,17,63,5,"1,066",8,"1,025",
  ,능동제2투,"2,359","1,266",651,492,,24,65,9,"1,241",25,"1,093",
  ,능동제3투,"2,900","1,758",845,789,,24,79,4,"1,741",17,"1,142",
  ,소계,"21,688","14,244","7,626","5,756",,226,446,55,"14,109",135,"7,444",
  ,관내사전투표,"4,318","4,318","2,707","1,379",,61,124,11,"4,282",36,0,
  ,구의제2동제1투,"2,623","1,239",617,535,,19,50,5,"1,226",13,"1,384",
  ,구의제2동제2투,"2,355","1,548",741,739,,13,38,6,"1,537",11,807,
  ,구의제2동제3투,"2,252","1,288",647,562,,19,50,4,"1,282",6,964,
  ,구의제2동제4투,"3,249","1,891",954,815,,34,60,9,"1,872",19,"1,358",
  ,구의제2동제5투,"3,258","1,801",870,818,,37,46,9,"1,780",21,"1,457",
  ,구의제2동제6투,"3,633","2,159","1,090",908,,43,78,11,"2,130",29,"1,474",
  ,소계,"25,198","18,473","8,437","9,184",,132,543,45,"18,341",132,"6,725",
  ,관내사전투표,"5,384","5,383","3,002","2,179",,37,134,8,"5,360",23,1,
  ,광장동제1투,"3,717","2,054",758,"1,186",,21,64,3,"2,032",22,"1,663",
  ,광장동제2투,"2,537","1,600",459,"1,060",,16,46,5,"1,586",14,937,
  ,광장동제3투,"3,140","2,180","1,077","1,001",,15,62,7,"2,162",18,960,
  ,광장동제4투,"3,432","2,496","1,153","1,223",,12,79,8,"2,475",21,936,
  ,광장동제5투,"3,779","2,490","1,159","1,213",,17,75,7,"2,471",19,"1,289",
  ,광장동제6투,"3,209","2,270",829,"1,322",,14,83,7,"2,255",15,939,
  ,소계,"16,457","10,293","5,518","3,996",,208,389,57,"10,168",125,"6,164",
  ,관내사전투표,"2,999","2,999","1,869",959,,50,80,9,"2,967",32,0,
  ,군자동제1투,"2,882","1,506",745,618,,32,72,13,"1,480",26,"1,376",
  ,군자동제2투,"2,078","1,184",639,450,,20,57,4,"1,170",14,894,
  ,군자동제3투,"2,091","1,158",585,468,,29,59,8,"1,149",9,933,
  ,군자동제4투,"2,207","1,189",608,471,,29,48,10,"1,166",23,"1,018",
  ,군자동제5투,"2,009","1,156",535,539,,29,35,7,"1,145",11,853,
  ,군자동제6투,"2,191","1,101",537,491,,19,38,6,"1,091",10,"1,090",
  ,잘못 투입·구분된 투표지,0,2,2,0,,0,0,0,2,0,-2,
