중앙선거관리위원회 선거통계시스템,,,,,,,,,,,,,,
개표현황(투표구별),,,,,,,,,,,,,,
[제21대][국회의원선거][국회의원선거][서울특별시][동대문구],,,,,,,,,,,,,,
선거구명,투표구명,선거인수,투표수,후보자별 득표수,,,,,,,,"무효
투표수",기권수,
  ,  ,  ,  ,"더불어민주당
안규백","미래통합당
허용범","민생당
백금산",,"민중당
오준석","국가혁명배당금당
정공명","무소속
이가현",계,  ,  ,
동대문구갑,계,"148,982","99,027","51,551","40,874","1,679",,"1,264",393,"2,009","97,770","1,257","49,955",
  ,거소·선상투표,235,221,125,74,6,,3,2,4,214,7,14,
  ,관외사전투표,"12,209","12,207","7,546","3,713",153,,193,56,315,"11,976",231,2,
  ,국외부재자투표,741,188,127,56,2,,0,0,2,187,1,553,
  ,국외부재자투표(공관),0,11,7,2,0,,0,0,2,11,0,-11,
  ,소계,"25,653","15,007","8,098","6,058",174,,148,63,281,"14,822",185,"10,646",
  ,관내사전투표,"4,520","4,520","2,814","1,484",47,,36,22,71,"4,474",46,0,
  ,용신동제1투,"3,361","1,504",673,764,14,,8,3,31,"1,493",11,"1,857",
  ,용신동제2투,"2,891","1,519",768,658,17,,21,8,27,"1,499",20,"1,372",
  ,용신동제3투,"2,798","1,425",748,597,22,,17,10,18,"1,412",13,"1,373",
  ,용신동제4투,"2,416","1,290",689,531,14,,9,1,24,"1,268",22,"1,126",
  ,용신동제5투,"2,668","1,290",669,545,13,,17,6,22,"1,272",18,"1,378",
  ,용신동제6투,"1,140",544,258,242,11,,1,4,14,530,14,596,
  ,용신동제7투,"2,908","1,360",684,583,14,,22,4,37,"1,344",16,"1,548",
  ,용신동제8투,"2,951","1,555",795,654,22,,17,5,37,"1,530",25,"1,396",
  ,소계,"21,075","13,217","6,581","5,906",168,,139,51,213,"13,058",159,"7,858",
  ,관내사전투표,"4,799","4,799","2,799","1,792",61,,43,8,63,"4,766",33,0,
  ,제기동제1투,"3,082","1,448",607,757,17,,16,13,16,"1,426",22,"1,634",
  ,제기동제2투,"2,807","1,540",642,814,14,,12,3,26,"1,511",29,"1,267",
  ,제기동제3투,"2,842","1,176",542,549,15,,18,5,24,"1,153",23,"1,666",
  ,제기동제4투,"2,656","1,415",625,683,29,,15,12,32,"1,396",19,"1,241",
  ,제기동제5투,"2,303","1,363",666,607,19,,11,5,33,"1,341",22,940,
  ,제기동제6투,"2,586","1,476",700,704,13,,24,5,19,"1,465",11,"1,110",
  ,소계,"17,873","11,485","5,277","5,606",168,,95,53,153,"11,352",133,"6,388",
  ,관내사전투표,"3,659","3,659","1,999","1,484",39,,26,19,57,"3,624",35,0,
  ,청량리동제1투,"2,389",920,418,442,21,,12,4,9,906,14,"1,469",
  ,청량리동제2투,"2,549","1,618",743,779,41,,13,7,21,"1,604",14,931,
  ,청량리동제3투,"1,968","1,020",452,505,12,,17,3,14,"1,003",17,948,
  ,청량리동제4투,"1,990","1,065",435,566,23,,7,5,11,"1,047",18,925,
  ,청량리동제5투,"2,340","1,347",589,696,14,,8,8,18,"1,333",14,993,
  ,청량리동제6투,"2,978","1,856",641,"1,134",18,,12,7,23,"1,835",21,"1,122",
  ,소계,"9,568","6,627","3,418","2,607",139,,124,22,220,"6,530",97,"2,941",
  ,관내사전투표,"3,469","3,469","1,977","1,175",79,,67,9,116,"3,423",46,0,
  ,회기동제1투,"2,430","1,174",519,543,19,,24,4,40,"1,149",25,"1,256",
  ,회기동제2투,"1,953","1,102",494,507,27,,21,1,37,"1,087",15,851,
  ,회기동제3투,"1,716",882,428,382,14,,12,8,27,871,11,834,
  ,소계,"11,520","7,303","3,652","3,044",204,,116,28,159,"7,203",100,"4,217",
  ,관내사전투표,"2,997","2,997","1,712","1,077",63,,52,6,54,"2,964",33,0,
  ,휘경제1동제1투,"2,832","1,456",625,716,59,,16,9,20,"1,445",11,"1,376",
  ,휘경제1동제2투,"1,088",406,173,188,22,,8,1,7,399,7,682,
  ,휘경제1동제3투,"2,527","1,266",608,516,33,,25,5,51,"1,238",28,"1,261",
  ,휘경제1동제4투,"2,076","1,178",534,547,27,,15,7,27,"1,157",21,898,
  ,소계,"18,642","12,203","6,198","5,145",265,,169,52,228,"12,057",146,"6,439",
  ,관내사전투표,"2,782","2,782","1,702",922,63,,20,12,40,"2,759",23,0,
  ,휘경제2동제1투,"2,113","1,055",464,504,26,,19,4,27,"1,044",11,"1,058",
  ,휘경제2동제2투,"2,262","1,549",764,699,24,,23,4,19,"1,533",16,713,
  ,휘경제2동제3투,"3,265","1,872",881,802,41,,40,12,54,"1,830",42,"1,393",
  ,휘경제2동제4투,"3,182","1,773",827,775,49,,38,15,37,"1,741",32,"1,409",
  ,휘경제2동제5투,"2,743","1,799",830,891,23,,8,4,30,"1,786",13,944,
  ,휘경제2동제6투,"2,295","1,373",730,552,39,,21,1,21,"1,364",9,922,
  ,소계,"15,229","9,576","4,673","4,142",231,,150,30,239,"9,465",111,"5,653",
  ,관내사전투표,"3,115","3,115","1,778","1,127",71,,41,8,68,"3,093",22,0,
  ,이문제1동제1투,"2,399",959,449,429,32,,16,1,15,942,17,"1,440",
  ,이문제1동제2투,"1,940","1,001",479,430,41,,9,5,25,989,12,939,
  ,이문제1동제3투,"1,695","1,134",451,595,25,,14,2,35,"1,122",12,561,
  ,이문제1동제4투,"1,672",774,356,333,19,,22,7,29,766,8,898,
  ,이문제1동제5투,"2,132","1,310",591,637,15,,20,3,30,"1,296",14,822,
  ,이문제1동제6투,"2,276","1,283",569,591,28,,28,4,37,"1,257",26,993,
  ,소계,"16,237","10,978","5,846","4,521",169,,127,36,193,"10,892",86,"5,259",
  ,관내사전투표,"3,721","3,719","2,271","1,284",46,,37,9,54,"3,701",18,2,
  ,이문제2동제1투,"2,855","1,340",644,579,27,,27,10,40,"1,327",13,"1,515",
  ,이문제2동제2투,"1,870",880,424,381,26,,16,5,16,868,12,990,
  ,이문제2동제3투,"2,545","1,539",762,695,24,,16,6,22,"1,525",14,"1,006",
  ,이문제2동제4투,"2,602","1,784",873,823,32,,11,3,28,"1,770",14,818,
  ,이문제2동제5투,"2,644","1,716",872,759,14,,20,3,33,"1,701",15,928,
  ,잘못 투입·구분된 투표지,0,4,3,0,0,,0,0,0,3,1,-4,
  ,  ,  ,  ,"더불어민주당
장경태","미래통합당
이혜훈","민중당
김종민",,"국가혁명배당금당
박경희",  ,  ,계,  ,  ,
동대문구을,계,"156,971","104,468","55,230","44,360","1,198",,464,0,0,"101,252","3,216","52,503",
  ,거소·선상투표,231,224,87,81,6,,1,0,0,175,49,7,
  ,관외사전투표,"9,634","9,631","5,662","3,066",144,,53,0,0,"8,925",706,3,
  ,국외부재자투표,557,149,97,45,2,,0,0,0,144,5,408,
  ,국외부재자투표(공관),0,4,1,3,0,,0,0,0,4,0,-4,
  ,소계,"24,348","15,099","7,732","6,640",224,,74,0,0,"14,670",429,"9,249",
  ,관내사전투표,"4,140","4,140","2,459","1,502",57,,12,0,0,"4,030",110,0,
  ,전농제1동제1투,"3,155","1,331",656,580,25,,10,0,0,"1,271",60,"1,824",
  ,전농제1동제2투,"2,460","1,298",662,587,11,,2,0,0,"1,262",36,"1,162",
  ,전농제1동제3투,"3,249","1,666",824,732,36,,15,0,0,"1,607",59,"1,583",
  ,전농제1동제4투,"2,299","1,210",608,530,28,,7,0,0,"1,173",37,"1,089",
  ,전농제1동제5투,"2,401","1,163",565,542,22,,5,0,0,"1,134",29,"1,238",
  ,전농제1동제6투,"2,058","1,060",518,481,17,,10,0,0,"1,026",34,998,
  ,전농제1동제7투,"2,148","1,477",686,739,20,,2,0,0,"1,447",30,671,
  ,전농제1동제8투,"2,438","1,754",754,947,8,,11,0,0,"1,720",34,684,
  ,소계,"16,498","11,464","5,869","5,139",122,,39,0,0,"11,169",295,"5,034",
  ,관내사전투표,"4,513","4,512","2,677","1,659",42,,11,0,0,"4,389",123,1,
  ,전농제2동제1투,"1,867","1,036",445,551,11,,5,0,0,"1,012",24,831,
  ,전농제2동제2투,"2,656","1,779",820,900,21,,6,0,0,"1,747",32,877,
  ,전농제2동제3투,"2,141","1,231",582,589,14,,4,0,0,"1,189",42,910,
  ,전농제2동제4투,"3,298","1,847",822,950,15,,10,0,0,"1,797",50,"1,451",
  ,전농제2동제5투,"2,023","1,059",523,490,19,,3,0,0,"1,035",24,964,
  ,소계,"23,209","15,436","8,070","6,812",174,,63,0,0,"15,119",317,"7,773",
  ,관내사전투표,"4,807","4,807","2,961","1,706",49,,12,0,0,"4,728",79,0,
  ,답십리제1동제1투,"2,642","1,010",515,446,16,,3,0,0,980,30,"1,632",
  ,답십리제1동제2투,"2,770","1,484",760,663,19,,12,0,0,"1,454",30,"1,286",
  ,답십리제1동제3투,"2,246","1,509",665,801,15,,3,0,0,"1,484",25,737,
  ,답십리제1동제4투,"2,377","1,516",678,767,25,,10,0,0,"1,480",36,861,
  ,답십리제1동제5투,"3,111","1,800",848,892,20,,5,0,0,"1,765",35,"1,311",
  ,답십리제1동제6투,"1,711",980,514,429,11,,2,0,0,956,24,731,
  ,답십리제1동제7투,"3,545","2,330","1,129","1,108",19,,16,0,0,"2,272",58,"1,215",
  ,소계,"24,011","15,645","8,092","6,897",166,,81,0,0,"15,236",409,"8,366",
  ,관내사전투표,"3,933","3,933","2,356","1,433",33,,12,0,0,"3,834",99,0,
  ,답십리제2동제1투,"3,862","1,917",928,901,23,,6,0,0,"1,858",59,"1,945",
  ,답십리제2동제2투,"2,436","1,459",727,662,16,,14,0,0,"1,419",40,977,
  ,답십리제2동제3투,"1,994","1,212",592,556,21,,9,0,0,"1,178",34,782,
  ,답십리제2동제4투,"2,715","1,736",888,785,20,,11,0,0,"1,704",32,979,
  ,답십리제2동제5투,"2,822","1,780",887,822,12,,11,0,0,"1,732",48,"1,042",
  ,답십리제2동제6투,"3,095","2,011",943,996,29,,5,0,0,"1,973",38,"1,084",
  ,답십리제2동제7투,"3,154","1,597",771,742,12,,13,0,0,"1,538",59,"1,557",
  ,소계,"32,044","19,830","10,627","8,295",191,,83,0,0,"19,196",634,"12,214",
  ,관내사전투표,"4,934","4,933","3,078","1,686",41,,21,0,0,"4,826",107,1,
  ,장안제1동제1투,"3,790","1,720",934,702,15,,9,0,0,"1,660",60,"2,070",
  ,장안제1동제2투,"3,757","1,948",998,860,21,,6,0,0,"1,885",63,"1,809",
  ,장안제1동제3투,"3,612","1,625",855,653,24,,12,0,0,"1,544",81,"1,987",
  ,장안제1동제4투,"3,944","2,091","1,105",884,23,,10,0,0,"2,022",69,"1,853",
  ,장안제1동제5투,"2,776","1,630",837,708,13,,1,0,0,"1,559",71,"1,146",
  ,장안제1동제6투,"3,371","1,815",947,756,27,,16,0,0,"1,746",69,"1,556",
  ,장안제1동제7투,"2,875","1,955",876,"1,003",11,,3,0,0,"1,893",62,920,
  ,장안제1동제8투,"2,985","2,113",997,"1,043",16,,5,0,0,"2,061",52,872,
  ,소계,"26,439","16,984","8,993","7,381",169,,70,0,0,"16,613",371,"9,455",
  ,관내사전투표,"4,856","4,856","2,902","1,807",41,,11,0,0,"4,761",95,0,
  ,장안제2동제1투,"1,883",871,402,426,9,,6,0,0,843,28,"1,012",
  ,장안제2동제2투,"2,969","1,649",795,795,20,,5,0,0,"1,615",34,"1,320",
  ,장안제2동제3투,"2,112","1,186",554,566,11,,9,0,0,"1,140",46,926,
  ,장안제2동제4투,"2,526","1,309",645,600,17,,9,0,0,"1,271",38,"1,217",
  ,장안제2동제5투,"3,921","2,131","1,179",866,30,,6,0,0,"2,081",50,"1,790",
  ,장안제2동제6투,"2,020","1,084",558,482,8,,8,0,0,"1,056",28,936,
  ,장안제2동제7투,"3,553","2,344","1,178","1,122",15,,9,0,0,"2,324",20,"1,209",
  ,장안제2동제8투,"2,599","1,554",780,717,18,,7,0,0,"1,522",32,"1,045",
  ,잘못 투입·구분된 투표지,0,2,0,1,0,,0,0,0,1,1,-2,
,,,,,,,,,,,,,,
