중앙선거관리위원회 선거통계시스템,,,,,,,,,,,,,,,
개표현황(투표구별),,,,,,,,,,,,,,,
[제21대][국회의원선거][국회의원선거][서울특별시][중랑구],,,,,,,,,,,,,,,
선거구명,투표구명,선거인수,투표수,후보자별 득표수,,,,,,,,,"무효
투표수",기권수,
  ,  ,  ,  ,"더불어민주당
서영교","미래통합당
김삼화","민생당
이기현",,"정의당
김지수","민중당
성치화","국가혁명배당금당
박명수","무소속
이성복",계,  ,  ,
중랑구갑,계,"158,409","96,685","55,185","34,670",754,,"2,706",624,492,"1,109","95,540","1,145","61,724",
  ,거소·선상투표,199,187,100,48,2,,12,6,7,3,178,9,12,
  ,관외사전투표,"9,316","9,311","5,982","2,471",59,,295,102,81,165,"9,155",156,5,
  ,국외부재자투표,453,120,95,21,1,,2,0,0,1,120,0,333,
  ,국외부재자투표(공관),0,6,4,1,0,,1,0,0,0,6,0,-6,
  ,소계,"30,535","17,601","9,924","6,349",141,,509,123,95,255,"17,396",205,"12,934",
  ,관내사전투표,"6,491","6,491","4,041","2,048",55,,149,42,31,60,"6,426",65,0,
  ,면목본동제1투,"4,156","1,640",800,707,13,,53,7,15,29,"1,624",16,"2,516",
  ,면목본동제2투,"3,089","1,511",785,598,18,,44,17,7,22,"1,491",20,"1,578",
  ,면목본동제3투,"3,435","1,627",891,619,9,,42,4,9,28,"1,602",25,"1,808",
  ,면목본동제4투,"3,324","1,610",860,626,9,,56,12,7,20,"1,590",20,"1,714",
  ,면목본동제5투,"3,190","1,595",852,597,13,,43,22,11,35,"1,573",22,"1,595",
  ,면목본동제6투,"3,668","1,608",872,586,13,,67,8,5,34,"1,585",23,"2,060",
  ,면목본동제7투,"3,182","1,519",823,568,11,,55,11,10,27,"1,505",14,"1,663",
  ,소계,"20,874","11,969","6,806","4,394",87,,332,69,41,105,"11,834",135,"8,905",
  ,관내사전투표,"3,972","3,972","2,495","1,267",33,,88,15,9,28,"3,935",37,0,
  ,면목제2동제1투,"3,747","1,618",844,653,8,,54,15,8,10,"1,592",26,"2,129",
  ,면목제2동제2투,"2,746","1,403",760,546,16,,41,7,9,15,"1,394",9,"1,343",
  ,면목제2동제3투,"3,762","1,764",995,675,10,,40,5,10,10,"1,745",19,"1,998",
  ,면목제2동제4투,"3,347","1,601",839,656,7,,57,8,3,11,"1,581",20,"1,746",
  ,면목제2동제5투,"3,300","1,611",873,597,13,,52,19,2,31,"1,587",24,"1,689",
  ,소계,"21,145","12,103","6,647","4,578",111,,334,79,54,159,"11,962",141,"9,042",
  ,관내사전투표,"3,187","3,186","2,036",961,28,,73,15,15,37,"3,165",21,1,
  ,면목제3·8동제1투,"3,211","1,451",767,590,15,,31,6,5,20,"1,434",17,"1,760",
  ,면목제3·8동제2투,"2,548","1,314",656,555,16,,37,6,9,12,"1,291",23,"1,234",
  ,면목제3·8동제3투,"2,551","1,162",607,463,10,,27,8,6,26,"1,147",15,"1,389",
  ,면목제3·8동제4투,"2,553","1,271",689,490,11,,33,10,7,9,"1,249",22,"1,282",
