중앙선거관리위원회 선거통계시스템,,,,,,,,,,,,
개표현황(투표구별),,,,,,,,,,,,
[제21대][국회의원선거][국회의원선거][서울특별시][성북구],,,,,,,,,,,,
선거구명,투표구명,선거인수,투표수,후보자별 득표수,,,,,,"무효
투표수",기권수,
  ,  ,  ,  ,"더불어민주당
김영배","미래통합당
한상학",,"민생당
박춘림","국가혁명배당금당
최원용",계,  ,  ,
성북구갑,계,"202,294","138,186","82,954","49,727",,"2,642",880,"136,203","1,983","64,108",
  ,거소·선상투표,291,280,157,91,,7,7,262,18,11,
  ,관외사전투표,"16,023","16,008","10,668","4,550",,334,139,"15,691",317,15,
  ,국외부재자투표,"1,219",329,241,81,,2,1,325,4,890,
  ,국외부재자투표(공관),0,13,9,4,,0,0,13,0,-13,
  ,소계,"14,212","9,629","5,544","3,702",,192,52,"9,490",139,"4,583",
  ,관내사전투표,"3,977","3,974","2,735","1,124",,67,11,"3,937",37,3,
  ,성북동제1투,"2,863","1,648",897,656,,50,15,"1,618",30,"1,215",
  ,성북동제2투,"2,863","1,390",656,686,,19,7,"1,368",22,"1,473",
  ,성북동제3투,"1,966","1,177",461,665,,18,7,"1,151",26,789,
  ,성북동제4투,"2,543","1,440",795,571,,38,12,"1,416",24,"1,103",
  ,소계,"20,911","13,496","8,382","4,566",,282,88,"13,318",178,"7,415",
  ,관내사전투표,"4,855","4,854","3,435","1,274",,80,22,"4,811",43,1,
  ,삼선동제1투,"3,930","1,966","1,004",863,,44,20,"1,931",35,"1,964",
  ,삼선동제2투,"2,639","1,437",844,527,,35,6,"1,412",25,"1,202",
  ,삼선동제3투,"2,612","1,649","1,002",595,,25,10,"1,632",17,963,
  ,삼선동제4투,"3,629","2,026","1,187",746,,45,17,"1,995",31,"1,603",
  ,삼선동제5투,"3,246","1,564",910,561,,53,13,"1,537",27,"1,682",
  ,소계,"12,779","8,144","5,034","2,668",,257,39,"7,998",146,"4,635",
  ,관내사전투표,"2,802","2,802","1,925",765,,68,8,"2,766",36,0,
  ,동선동제1투,"1,822",817,475,300,,27,4,806,11,"1,005",
