중앙선거관리위원회 선거통계시스템,,,,,,,,,,,,
개표현황(투표구별),,,,,,,,,,,,
[제21대][국회의원선거][국회의원선거][서울특별시][강북구],,,,,,,,,,,,
선거구명,투표구명,선거인수,투표수,후보자별 득표수,,,,,,"무효
투표수",기권수,
  ,  ,  ,  ,"더불어민주당
천준호","미래통합당
정양석",,"민중당
김은진","무소속
선계선",계,  ,  ,
강북구갑,계,"141,126","87,195","49,490","33,840",,"1,457",903,"85,690","1,505","53,931",
  ,거소·선상투표,253,244,142,84,,4,3,233,11,9,
  ,관외사전투표,"8,174","8,169","5,432","2,282",,174,140,"8,028",141,5,
  ,국외부재자투표,537,150,102,44,,1,2,149,1,387,
  ,국외부재자투표(공관),0,5,1,4,,0,0,5,0,-5,
  ,소계,"17,550","10,474","5,684","4,379",,151,91,"10,305",169,"7,076",
  ,관내사전투표,"3,512","3,506","2,164","1,229",,39,28,"3,460",46,6,
  ,우이동제1투,"3,348","1,442",648,729,,29,20,"1,426",16,"1,906",
  ,우이동제2투,"4,456","2,017","1,091",809,,33,21,"1,954",63,"2,439",
  ,우이동제3투,"3,233","1,785",967,758,,26,12,"1,763",22,"1,448",
  ,우이동제4투,"3,001","1,724",814,854,,24,10,"1,702",22,"1,277",
  ,소계,"26,197","15,548","8,584","6,253",,232,142,"15,211",337,"10,649",
  ,관내사전투표,"5,516","5,512","3,462","1,880",,71,32,"5,445",67,4,
  ,인수동제1투,"2,369","1,086",537,498,,11,15,"1,061",25,"1,283",
  ,인수동제2투,"2,041","1,072",501,522,,19,7,"1,049",23,969,
  ,인수동제3투,"2,561","1,309",696,558,,20,23,"1,297",12,"1,252",
  ,인수동제4투,"2,141","1,176",523,567,,15,8,"1,113",63,965,
  ,인수동제5투,"2,453","1,069",596,431,,21,14,"1,062",7,"1,384",
  ,인수동제6투,"2,712","1,257",662,504,,18,8,"1,192",65,"1,455",
  ,인수동제7투,"3,314","1,574",846,654,,31,21,"1,552",22,"1,740",
  ,인수동제8투,"3,090","1,493",761,639,,26,14,"1,440",53,"1,597",
  ,소계,"16,437","9,276","5,263","3,587",,184,103,"9,137",139,"7,161",
  ,관내사전투표,"3,190","3,190","2,061","1,013",,43,31,"3,148",42,0,
  ,번1동제1투,"3,035","1,229",641,517,,35,17,"1,210",19,"1,806",
