중앙선거관리위원회 선거통계시스템,,,,,,,,,,,,
개표현황(투표구별),,,,,,,,,,,,
[제21대][국회의원선거][국회의원선거][서울특별시][도봉구],,,,,,,,,,,,
선거구명,투표구명,선거인수,투표수,후보자별 득표수,,,,,,"무효
투표수",기권수,
  ,  ,  ,  ,"더불어민주당
인재근","미래통합당
김재섭",,"정의당
윤오","국가혁명배당금당
박영찬",계,  ,  ,
도봉구갑,계,"142,625","94,701","50,653","37,967",,"4,577",554,"93,751",950,"47,924",
  ,거소·선상투표,208,199,97,69,,22,4,192,7,9,
  ,관외사전투표,"9,585","9,582","5,995","2,882",,481,73,"9,431",151,3,
  ,국외부재자투표,543,122,92,30,,0,0,122,0,421,
  ,국외부재자투표(공관),0,9,9,0,,0,0,9,0,-9,
  ,소계,"17,557","10,584","5,620","4,271",,495,77,"10,463",121,"6,973",
  ,관내사전투표,"3,305","3,303","1,973","1,136",,145,19,"3,273",30,2,
  ,쌍문1동제1투,"2,993","1,379",707,562,,70,20,"1,359",20,"1,614",
  ,쌍문1동제2투,"2,758","1,330",702,539,,68,8,"1,317",13,"1,428",
  ,쌍문1동제3투,"2,448","1,382",660,631,,66,7,"1,364",18,"1,066",
  ,쌍문1동제4투,"3,305","1,732",895,739,,72,12,"1,718",14,"1,573",
  ,쌍문1동제5투,"2,748","1,458",683,664,,74,11,"1,432",26,"1,290",
  ,소계,"14,534","8,967","4,790","3,452",,562,67,"8,871",96,"5,567",
  ,관내사전투표,"3,026","3,025","1,870",955,,159,17,"3,001",24,1,
  ,쌍문3동제1투,"3,293","1,671",829,707,,101,15,"1,652",19,"1,622",
  ,쌍문3동제2투,"3,097","1,602",823,632,,115,18,"1,588",14,"1,495",
  ,쌍문3동제3투,"2,587","1,338",667,556,,89,5,"1,317",21,"1,249",
  ,쌍문3동제4투,"2,531","1,331",601,602,,98,12,"1,313",18,"1,200",
  ,소계,"20,337","13,260","6,908","5,583",,587,84,"13,162",98,"7,077",
  ,관내사전투표,"3,751","3,751","2,314","1,252",,154,15,"3,735",16,0,
  ,창1동제1투,"2,830","1,769",790,859,,83,22,"1,754",15,"1,061",
  ,창1동제2투,"2,369","1,049",506,470,,56,10,"1,042",7,"1,320",
  ,창1동제3투,"2,670","1,192",609,508,,57,4,"1,178",14,"1,478",
  ,창1동제4투,"3,004","1,736",818,832,,71,5,"1,726",10,"1,268",
  ,창1동제5투,"3,161","2,158","1,010","1,023",,93,15,"2,141",17,"1,003",
  ,창1동제6투,"2,552","1,605",861,639,,73,13,"1,586",19,947,
  ,소계,"24,839","15,145","8,127","5,910",,890,70,"14,997",148,"9,694",
  ,관내사전투표,"5,566","5,564","3,305","1,907",,293,19,"5,524",40,2,
  ,창2동제1투,"2,959","1,364",709,551,,80,4,"1,344",20,"1,595",
  ,창2동제2투,"3,359","1,549",810,607,,99,17,"1,533",16,"1,810",
  ,창2동제3투,"2,933","1,613",840,655,,96,5,"1,596",17,"1,320",
  ,창2동제4투,"3,433","1,968",891,918,,133,12,"1,954",14,"1,465",
  ,창2동제5투,"3,130","1,509",733,672,,78,7,"1,490",19,"1,621",
  ,창2동제6투,"3,459","1,578",839,600,,111,6,"1,556",22,"1,881",
  ,소계,"11,950","7,039","3,738","2,826",,351,47,"6,962",77,"4,911",
  ,관내사전투표,"2,771","2,770","1,623",975,,139,11,"2,748",22,1,
  ,창3동제1투,"2,069",892,412,408,,47,14,881,11,"1,177",
  ,창3동제2투,"2,765","1,209",581,525,,75,7,"1,188",21,"1,556",
  ,창3동제3투,"1,932",867,450,360,,43,5,858,9,"1,065",
  ,창3동제4투,"2,413","1,301",672,558,,47,10,"1,287",14,"1,112",
  ,소계,"22,101","15,473","8,243","6,415",,626,58,"15,342",131,"6,628",
  ,관내사전투표,"4,495","4,494","2,765","1,519",,170,15,"4,469",25,1,
  ,창4동제1투,"2,804","1,599",872,626,,69,8,"1,575",24,"1,205",
  ,창4동제2투,"2,446","1,351",714,557,,54,9,"1,334",17,"1,095",
  ,창4동제3투,"3,018","1,900",877,933,,67,11,"1,888",12,"1,118",
  ,창4동제4투,"3,267","2,098",967,"1,024",,85,6,"2,082",16,"1,169",
  ,창4동제5투,"2,724","1,764",858,816,,76,3,"1,753",11,960,
  ,창4동제6투,"3,347","2,267","1,190",940,,105,6,"2,241",26,"1,080",
  ,소계,"20,971","14,317","7,031","6,528",,563,74,"14,196",121,"6,654",
  ,관내사전투표,"5,351","5,351","3,074","2,055",,167,26,"5,322",29,0,
  ,창5동제1투,"2,708","1,540",777,675,,67,9,"1,528",12,"1,168",
  ,창5동제2투,"2,003","1,108",528,509,,44,12,"1,093",15,895,
  ,창5동제3투,"2,633","1,472",682,710,,60,7,"1,459",13,"1,161",
  ,창5동제4투,"2,599","1,341",567,662,,83,8,"1,320",21,"1,258",
  ,창5동제5투,"1,513","1,070",375,638,,48,1,"1,062",8,443,
  ,창5동제6투,"2,285","1,475",557,853,,45,3,"1,458",17,810,
  ,창5동제7투,"1,879",960,471,426,,49,8,954,6,919,
  ,잘못 투입·구분된 투표지,0,4,3,1,,0,0,4,0,-4,
  ,  ,  ,  ,"더불어민주당
오기형","미래통합당
김선동",,"국가혁명배당금당
김관석","무소속
최순자",계,  ,  ,
도봉구을,계,"148,641","98,926","51,756","44,554",,641,683,"97,634","1,292","49,715",
  ,거소·선상투표,341,321,127,159,,7,8,301,20,20,
  ,관외사전투표,"8,659","8,649","5,290","3,007",,98,103,"8,498",151,10,
  ,국외부재자투표,540,136,94,41,,0,0,135,1,404,
  ,국외부재자투표(공관),0,5,4,0,,0,0,4,1,-5,
  ,소계,"16,281","10,028","5,358","4,391",,78,72,"9,899",129,"6,253",
  ,관내사전투표,"2,659","2,658","1,609",999,,13,12,"2,633",25,1,
  ,쌍문2동제1투,"3,390","1,605",830,720,,13,14,"1,577",28,"1,785",
  ,쌍문2동제2투,"3,004","1,598",791,753,,14,15,"1,573",25,"1,406",
  ,쌍문2동제3투,"2,094","1,140",545,555,,17,9,"1,126",14,954,
  ,쌍문2동제4투,"2,608","1,678",854,793,,7,9,"1,663",15,930,
  ,쌍문2동제5투,"2,526","1,349",729,571,,14,13,"1,327",22,"1,177",
  ,소계,"15,185","10,317","5,419","4,717",,52,52,"10,240",77,"4,868",
  ,관내사전투표,"3,633","3,633","2,203","1,386",,11,12,"3,612",21,0,
  ,쌍문4동제1투,"2,821","1,495",731,729,,12,10,"1,482",13,"1,326",
  ,쌍문4동제2투,"2,971","1,799",795,972,,8,12,"1,787",12,"1,172",
  ,쌍문4동제3투,"2,699","1,668",798,833,,16,7,"1,654",14,"1,031",
  ,쌍문4동제4투,"3,061","1,722",892,797,,5,11,"1,705",17,"1,339",
  ,소계,"23,639","14,791","7,467","7,003",,83,95,"14,648",143,"8,848",
