중앙선거관리위원회 선거통계시스템,,,,,,,,,,,,,
개표현황(투표구별),,,,,,,,,,,,,
[제21대][국회의원선거][국회의원선거][서울특별시][노원구],,,,,,,,,,,,,
선거구명,투표구명,선거인수,투표수,후보자별 득표수,,,,,,,"무효
투표수",기권수,
  ,  ,  ,  ,"더불어민주당
고용진","미래통합당
이노근",,"민중당
최나영","국가혁명배당금당
조덕실",  ,계,  ,  ,
노원구갑,계,"138,917","96,033","53,911","36,782",,"3,761",487,0,"94,941","1,092","42,884",
  ,거소·선상투표,223,211,115,78,,7,5,0,205,6,12,
  ,관외사전투표,"11,311","11,279","7,202","3,468",,396,66,0,"11,132",147,32,
  ,국외부재자투표,581,159,115,39,,4,1,0,159,0,422,
  ,국외부재자투표(공관),0,5,5,0,,0,0,0,5,0,-5,
  ,소계,"19,241","12,624","6,964","5,062",,398,65,0,"12,489",135,"6,617",
  ,관내사전투표,"4,466","4,465","2,810","1,477",,125,18,0,"4,430",35,1,
  ,월계1동제1투,"2,801","1,533",784,678,,45,2,0,"1,509",24,"1,268",
  ,월계1동제2투,"2,517","1,447",719,661,,50,5,0,"1,435",12,"1,070",
  ,월계1동제3투,"3,519","1,972",987,878,,71,15,0,"1,951",21,"1,547",
  ,월계1동제4투,"3,098","1,633",830,715,,54,14,0,"1,613",20,"1,465",
  ,월계1동제5투,"2,840","1,574",834,653,,53,11,0,"1,551",23,"1,266",
  ,소계,"21,936","14,164","7,823","5,643",,420,85,0,"13,971",193,"7,772",
  ,관내사전투표,"4,274","4,274","2,706","1,417",,104,15,0,"4,242",32,0,
  ,월계2동제1투,"3,378","1,706",840,784,,57,10,0,"1,691",15,"1,672",
  ,월계2동제2투,"2,547","1,372",777,522,,38,12,0,"1,349",23,"1,175",
  ,월계2동제3투,"2,735","1,712",868,766,,45,11,0,"1,690",22,"1,023",
  ,월계2동제4투,"3,745","2,168","1,194",858,,60,13,0,"2,125",43,"1,577",
  ,월계2동제5투,"2,777","1,431",648,678,,46,17,0,"1,389",42,"1,346",
  ,월계2동제6투,"2,480","1,501",790,618,,70,7,0,"1,485",16,979,
  ,소계,"24,352","16,456","8,859","6,606",,729,89,0,"16,283",173,"7,896",
  ,관내사전투표,"3,290","3,290","2,059","1,060",,128,11,0,"3,258",32,0,
  ,월계3동제1투,"2,161","1,244",660,484,,72,12,0,"1,228",16,917,
  ,월계3동제2투,"2,472","1,608",832,663,,96,4,0,"1,595",13,864,
  ,월계3동제3투,"2,429","1,573",750,712,,90,7,0,"1,559",14,856,
  ,월계3동제4투,"2,537","1,540",911,520,,76,15,0,"1,522",18,997,
  ,월계3동제5투,"3,163","2,187","1,124",945,,95,3,0,"2,167",20,976,
  ,월계3동제6투,"3,020","2,149","1,038","1,010",,74,9,0,"2,131",18,871,
  ,월계3동제7투,"1,687","1,074",583,444,,37,4,0,"1,068",6,613,
  ,월계3동제8투,"1,703",871,458,361,,30,11,0,860,11,832,
  ,월계3동제9투,"1,890",920,444,407,,31,13,0,895,25,970,
  ,소계,"31,346","20,396","11,438","7,861",,778,92,0,"20,169",227,"10,950",
  ,관내사전투표,"6,168","6,168","3,958","1,936",,206,21,0,"6,121",47,0,
  ,공릉1동제1투,"3,153","1,514",762,648,,69,13,0,"1,492",22,"1,639",
  ,공릉1동제2투,"3,918","2,223","1,159",923,,88,15,0,"2,185",38,"1,695",
  ,공릉1동제3투,"3,179","1,396",734,522,,107,7,0,"1,370",26,"1,783",
  ,공릉1동제4투,"2,584","1,446",742,627,,55,5,0,"1,429",17,"1,138",
  ,공릉1동제5투,"2,290","1,320",654,594,,42,13,0,"1,303",17,970,
  ,공릉1동제6투,"1,818","1,026",506,468,,39,3,0,"1,016",10,792,
  ,공릉1동제7투,"2,707","1,688",903,709,,52,7,0,"1,671",17,"1,019",
  ,공릉1동제8투,"2,603","1,627",896,653,,54,5,0,"1,608",19,976,
  ,공릉1동제9투,"2,926","1,988","1,124",781,,66,3,0,"1,974",14,938,
  ,소계,"29,927","20,704","11,366","8,016",,"1,028",84,0,"20,494",210,"9,223",
  ,관내사전투표,"5,807","5,806","3,729","1,779",,248,21,0,"5,777",29,1,
  ,공릉2동제1투,"3,249","1,824","1,008",674,,116,8,0,"1,806",18,"1,425",
  ,공릉2동제2투,"3,143","2,182","1,129",938,,83,8,0,"2,158",24,961,
  ,공릉2동제3투,"3,440","2,092","1,092",830,,124,13,0,"2,059",33,"1,348",
  ,공릉2동제4투,"1,861","1,202",619,494,,75,5,0,"1,193",9,659,
  ,공릉2동제5투,"3,175","1,963","1,017",815,,102,8,0,"1,942",21,"1,212",
  ,공릉2동제6투,"2,962","1,763",874,747,,103,12,0,"1,736",27,"1,199",
  ,공릉2동제7투,"2,926","1,728",858,746,,92,6,0,"1,702",26,"1,198",
  ,공릉2동제8투,"1,221",737,311,393,,24,2,0,730,7,484,
  ,공릉2동제9투,"2,143","1,407",729,600,,61,1,0,"1,391",16,736,
  ,잘못 투입·구분된 투표지,0,35,24,9,,1,0,0,34,1,-35,
  ,  ,  ,  ,"더불어민주당
우원식","미래통합당
이동섭",,"국가혁명배당금당
차동익",  ,  ,계,  ,  ,
노원구을,계,"163,736","115,788","71,708","41,792",,906,0,0,"114,406","1,382","47,948",
  ,거소·선상투표,401,384,225,136,,7,0,0,368,16,17,
  ,관외사전투표,"11,593","11,565","7,710","3,584",,101,0,0,"11,395",170,28,
