중앙선거관리위원회 선거통계시스템,,,,,,,,,,,,
개표현황(투표구별),,,,,,,,,,,,
[제21대][국회의원선거][국회의원선거][서울특별시][은평구],,,,,,,,,,,,
선거구명,투표구명,선거인수,투표수,후보자별 득표수,,,,,,"무효
투표수",기권수,
  ,  ,  ,  ,"더불어민주당
박주민","미래통합당
홍인정",,"민생당
한웅","국가혁명배당금당
노병현",계,  ,  ,
은평구갑,계,"206,917","135,749","86,351","45,589",,"1,551",819,"134,310","1,439","71,168",
  ,거소·선상투표,321,297,189,87,,7,4,287,10,24,
  ,관외사전투표,"14,496","14,488","10,419","3,586",,181,90,"14,276",212,8,
  ,국외부재자투표,902,289,221,65,,1,1,288,1,613,
  ,국외부재자투표(공관),0,11,8,3,,0,0,11,0,-11,
  ,소계,"30,051","18,733","11,380","6,812",,215,99,"18,506",227,"11,318",
  ,관내사전투표,"6,005","6,003","4,107","1,759",,62,29,"5,957",46,2,
  ,녹번동제1투,"3,398","1,510",848,608,,23,12,"1,491",19,"1,888",
  ,녹번동제2투,"3,441","2,098","1,164",875,,25,9,"2,073",25,"1,343",
  ,녹번동제3투,"3,303","1,579",957,565,,27,9,"1,558",21,"1,724",
  ,녹번동제4투,"3,004","1,492",818,629,,19,2,"1,468",24,"1,512",
  ,녹번동제5투,"4,058","2,503","1,486",958,,19,9,"2,472",31,"1,555",
  ,녹번동제6투,"3,349","1,690",901,716,,23,16,"1,656",34,"1,659",
  ,녹번동제7투,"3,493","1,858","1,099",702,,17,13,"1,831",27,"1,635",
  ,소계,"20,194","12,644","8,169","4,140",,143,79,"12,531",113,"7,550",
  ,관내사전투표,"4,912","4,912","3,444","1,380",,35,25,"4,884",28,0,
  ,응암제1동제1투,"3,308","1,513",884,580,,17,13,"1,494",19,"1,795",
  ,응암제1동제2투,"1,276",600,349,227,,11,5,592,8,676,
  ,응암제1동제3투,"2,901","1,572",945,579,,21,12,"1,557",15,"1,329",
  ,응암제1동제4투,"3,558","1,866","1,150",646,,31,15,"1,842",24,"1,692",
  ,응암제1동제5투,"4,239","2,181","1,397",728,,28,9,"2,162",19,"2,058",
  ,소계,"18,921","12,449","8,063","4,088",,138,58,"12,347",102,"6,472",
