중앙선거관리위원회 선거통계시스템,,,,,,,,,,,,,,
개표현황(투표구별),,,,,,,,,,,,,,
[제21대][국회의원선거][국회의원선거][서울특별시][서대문구],,,,,,,,,,,,,,
선거구명,투표구명,선거인수,투표수,후보자별 득표수,,,,,,,,"무효
투표수",기권수,
  ,  ,  ,  ,"더불어민주당
우상호","미래통합당
이성헌","우리공화당
신민호",,"민중당
전진희","국가혁명배당금당
고상일","무소속
신지예",계,  ,  ,
서대문구갑,계,"131,930","91,096","47,980","37,522",330,,"1,026",331,"2,916","90,105",991,"40,834",
  ,거소·선상투표,222,214,124,70,3,,4,7,1,209,5,8,
  ,관외사전투표,"12,973","12,968","7,933","4,059",30,,152,57,560,"12,791",177,5,
  ,국외부재자투표,962,221,141,66,0,,2,0,10,219,2,741,
  ,국외부재자투표(공관),0,17,13,4,0,,0,0,0,17,0,-17,
  ,소계,"13,803","8,407","4,208","3,698",42,,122,27,216,"8,313",94,"5,396",
  ,관내사전투표,"2,571","2,571","1,469",990,8,,33,7,45,"2,552",19,0,
  ,충현동제1투,"2,919","1,268",564,607,7,,28,4,41,"1,251",17,"1,651",
  ,충현동제2투,"2,348","1,173",518,571,10,,17,3,33,"1,152",21,"1,175",
  ,충현동제3투,821,472,211,234,1,,8,3,13,470,2,349,
  ,충현동제4투,"2,510","1,451",711,647,9,,17,6,44,"1,434",17,"1,059",
  ,충현동제5투,"2,634","1,472",735,649,7,,19,4,40,"1,454",18,"1,162",
  ,소계,"14,411","10,175","5,355","4,372",40,,76,34,217,"10,094",81,"4,236",
  ,관내사전투표,"3,612","3,612","2,162","1,304",8,,30,7,75,"3,586",26,0,
  ,천연동제1투,"2,631","1,373",595,720,8,,9,7,24,"1,363",10,"1,258",
  ,천연동제2투,"2,588","1,518",827,615,8,,15,10,28,"1,503",15,"1,070",
  ,천연동제3투,"2,284","1,418",736,609,7,,9,7,40,"1,408",10,866,
  ,천연동제4투,515,354,198,140,2,,3,1,9,353,1,161,
  ,천연동제5투,"2,781","1,900",837,984,7,,10,2,41,"1,881",19,881,
  ,소계,"14,163","9,856","5,125","4,153",38,,118,33,295,"9,762",94,"4,307",
  ,관내사전투표,"4,125","4,123","2,487","1,408",15,,45,9,120,"4,084",39,2,
  ,북아현동제1투,"2,177","1,010",482,469,7,,12,3,24,997,13,"1,167",
  ,북아현동제2투,"2,073","1,116",527,517,7,,20,5,30,"1,106",10,957,
  ,북아현동제3투,"2,912","1,769",820,841,6,,19,6,63,"1,755",14,"1,143",
  ,북아현동제4투,"2,876","1,838",809,918,3,,22,10,58,"1,820",18,"1,038",
  ,소계,"14,983","8,755","4,166","3,692",34,,146,32,519,"8,589",166,"6,228",
  ,관내사전투표,"2,331","2,332","1,337",774,8,,35,10,115,"2,279",53,-1,
  ,신촌동제1투,"1,826","1,015",376,544,4,,13,2,65,"1,004",11,811,
  ,신촌동제2투,"3,404","1,769",729,844,3,,17,7,133,"1,733",36,"1,635",
  ,신촌동제3투,"2,217","1,045",430,492,4,,24,5,72,"1,027",18,"1,172",
  ,신촌동제4투,"2,719","1,324",643,537,7,,32,3,73,"1,295",29,"1,395",
  ,신촌동제5투,"2,486","1,270",651,501,8,,25,5,61,"1,251",19,"1,216",
  ,소계,"29,520","18,742","9,541","8,031",59,,205,72,627,"18,535",207,"10,778",
  ,관내사전투표,"5,111","5,110","2,995","1,858",5,,54,8,157,"5,077",33,1,
  ,연희동제1투,"3,204","1,463",656,720,2,,20,6,44,"1,448",15,"1,741",
  ,연희동제2투,"1,941","1,202",526,603,6,,8,3,47,"1,193",9,739,
  ,연희동제3투,"2,562","1,375",642,664,4,,17,1,31,"1,359",16,"1,187",
  ,연희동제4투,"2,858","1,630",894,639,9,,10,10,46,"1,608",22,"1,228",
  ,연희동제5투,"2,613","1,640",866,675,5,,12,11,51,"1,620",20,973,
  ,연희동제6투,"2,623","1,517",812,626,8,,13,9,35,"1,503",14,"1,106",
  ,연희동제7투,"2,702","1,511",672,742,7,,25,8,41,"1,495",16,"1,191",
