중앙선거관리위원회 선거통계시스템,,,,,,,,,,,,
개표현황(투표구별),,,,,,,,,,,,
[제21대][국회의원선거][국회의원선거][서울특별시][마포구],,,,,,,,,,,,
선거구명,투표구명,선거인수,투표수,후보자별 득표수,,,,,,"무효
투표수",기권수,
  ,  ,  ,  ,"더불어민주당
노웅래","미래통합당
강승규",,"국가혁명배당금당
김명숙","통일민주당
박선아",계,  ,  ,
마포구갑,계,"136,147","96,058","53,160","40,775",,482,512,"94,929","1,129","40,089",
  ,거소·선상투표,158,150,94,45,,3,2,144,6,8,
  ,관외사전투표,"11,209","11,206","6,931","3,934",,77,73,"11,015",191,3,
  ,국외부재자투표,"1,012",289,176,112,,0,1,289,0,723,
  ,국외부재자투표(공관),0,13,9,4,,0,0,13,0,-13,
  ,소계,"30,484","19,344","10,707","8,193",,97,105,"19,102",242,"11,140",
  ,관내사전투표,"4,794","4,794","3,144","1,579",,9,18,"4,750",44,0,
  ,공덕동제1투,"2,975","1,658",891,714,,13,13,"1,631",27,"1,317",
  ,공덕동제2투,"3,410","2,142","1,021","1,078",,7,6,"2,112",30,"1,268",
  ,공덕동제3투,"2,268","1,142",652,448,,8,17,"1,125",17,"1,126",
  ,공덕동제4투,"2,224","1,016",590,391,,7,10,998,18,"1,208",
  ,공덕동제5투,"2,578","1,493",862,590,,13,7,"1,472",21,"1,085",
  ,공덕동제6투,"2,840","1,359",694,629,,11,10,"1,344",15,"1,481",
  ,공덕동제7투,"3,052","1,621",888,691,,13,9,"1,601",20,"1,431",
  ,공덕동제8투,"2,899","2,004",972,998,,6,4,"1,980",24,895,
  ,공덕동제9투,"3,444","2,115",993,"1,075",,10,11,"2,089",26,"1,329",
  ,소계,"19,924","14,073","7,248","6,584",,41,69,"13,942",131,"5,851",
  ,관내사전투표,"4,838","4,838","2,930","1,836",,8,22,"4,796",42,0,
  ,아현동제1투,"2,534","1,203",556,617,,4,7,"1,184",19,"1,331",
  ,아현동제2투,"1,897","1,243",633,582,,8,8,"1,231",12,654,
  ,아현동제3투,"2,454","1,545",755,763,,6,8,"1,532",13,909,
  ,아현동제4투,"1,602",880,414,443,,5,6,868,12,722,
  ,아현동제5투,"3,072","2,017",885,"1,099",,4,9,"1,997",20,"1,055",
  ,아현동제6투,"3,527","2,347","1,075","1,244",,6,9,"2,334",13,"1,180",
  ,소계,"18,729","13,605","7,125","6,193",,69,65,"13,452",153,"5,124",
  ,관내사전투표,"5,060","5,057","3,131","1,841",,22,23,"5,017",40,3,
  ,도화동제1투,"2,334","1,023",546,446,,6,9,"1,007",16,"1,311",
  ,도화동제2투,"2,002","1,244",534,685,,7,3,"1,229",15,758,
  ,도화동제3투,"1,695","1,207",436,746,,5,7,"1,194",13,488,
  ,도화동제4투,"1,697","1,228",636,567,,6,8,"1,217",11,469,
  ,도화동제5투,"1,647",884,450,399,,9,4,862,22,763,
  ,도화동제6투,"2,306","1,690",709,946,,8,7,"1,670",20,616,
  ,도화동제7투,"1,988","1,272",683,563,,6,4,"1,256",16,716,
  ,소계,"16,459","11,945","6,597","5,117",,58,57,"11,829",116,"4,514",
  ,관내사전투표,"4,674","4,674","3,009","1,604",,15,20,"4,648",26,0,
  ,용강동제1투,"2,581","1,569",758,780,,7,12,"1,557",12,"1,012",
  ,용강동제2투,"2,105","1,206",623,549,,10,3,"1,185",21,899,
  ,용강동제3투,"2,858","1,733",780,918,,6,6,"1,710",23,"1,125",
  ,용강동제4투,"2,004","1,387",681,669,,11,9,"1,370",17,617,
  ,용강동제5투,"2,237","1,376",746,597,,9,7,"1,359",17,861,
  ,소계,"10,409","6,358","3,579","2,606",,46,37,"6,268",90,"4,051",
