중앙선거관리위원회 선거통계시스템,,,,,,,,,,,,
개표현황(투표구별),,,,,,,,,,,,
[제21대][국회의원선거][국회의원선거][서울특별시][양천구],,,,,,,,,,,,
선거구명,투표구명,선거인수,투표수,후보자별 득표수,,,,,,"무효
투표수",기권수,
  ,  ,  ,  ,"더불어민주당
황희","미래통합당
송한섭",,"국가혁명배당금당
최사현","무소속
염동옥",계,  ,  ,
양천구갑,계,"206,747","152,176","78,196","67,814",,556,"4,244","150,810","1,366","54,571",
  ,거소·선상투표,241,231,114,86,,2,21,223,8,10,
  ,관외사전투표,"14,488","14,484","8,563","5,178",,70,458,"14,269",215,4,
  ,국외부재자투표,"1,435",359,235,116,,2,5,358,1,"1,076",
  ,국외부재자투표(공관),0,7,6,1,,0,0,7,0,-7,
  ,소계,"22,559","16,382","7,725","8,075",,46,426,"16,272",110,"6,177",
  ,관내사전투표,"4,565","4,563","2,682","1,758",,10,94,"4,544",19,2,
  ,목1동제1투,"2,959","1,865",762,"1,025",,4,59,"1,850",15,"1,094",
  ,목1동제2투,"2,946","1,961",841,"1,040",,3,64,"1,948",13,985,
  ,목1동제3투,"3,259","2,064","1,034",946,,11,45,"2,036",28,"1,195",
  ,목1동제4투,"2,719","1,996",891,"1,031",,5,55,"1,982",14,723,
  ,목1동제5투,"3,196","2,010",862,"1,066",,5,63,"1,996",14,"1,186",
  ,목1동제6투,"2,915","1,923",653,"1,209",,8,46,"1,916",7,992,
  ,소계,"24,858","16,766","9,373","6,548",,78,605,"16,604",162,"8,092",
  ,관내사전투표,"5,339","5,339","3,482","1,666",,18,137,"5,303",36,0,
  ,목2동제1투,"2,592","1,276",697,510,,5,52,"1,264",12,"1,316",
  ,목2동제2투,"2,692","1,578",763,721,,12,62,"1,558",20,"1,114",
  ,목2동제3투,"2,822","1,666",850,705,,14,73,"1,642",24,"1,156",
  ,목2동제4투,"2,669","1,758",848,841,,3,54,"1,746",12,911,
  ,목2동제5투,"1,934","1,168",629,470,,6,47,"1,152",16,766,
  ,목2동제6투,"1,938","1,168",604,494,,4,55,"1,157",11,770,
  ,목2동제7투,"2,478","1,452",747,617,,10,62,"1,436",16,"1,026",
  ,목2동제8투,"2,394","1,361",753,524,,6,63,"1,346",15,"1,033",
  ,소계,"18,518","11,991","6,462","5,037",,55,322,"11,876",115,"6,527",
  ,관내사전투표,"4,887","4,887","2,948","1,790",,19,107,"4,864",23,0,
  ,목3동제1투,"2,444","1,553",609,885,,9,43,"1,546",7,891,
  ,목3동제2투,"2,957","1,443",758,612,,5,47,"1,422",21,"1,514",
  ,목3동제3투,"2,889","1,382",711,578,,13,55,"1,357",25,"1,507",
  ,목3동제4투,"2,761","1,408",739,595,,4,48,"1,386",22,"1,353",
  ,목3동제5투,"2,580","1,318",697,577,,5,22,"1,301",17,"1,262",
  ,소계,"21,456","14,716","8,242","5,810",,70,462,"14,584",132,"6,740",
  ,관내사전투표,"5,794","5,794","3,586","2,023",,14,135,"5,758",36,0,
  ,목4동제1투,"2,451","1,311",673,582,,7,39,"1,301",10,"1,140",
  ,목4동제2투,"2,313","1,171",583,532,,6,36,"1,157",14,"1,142",
  ,목4동제3투,"2,841","1,670",846,738,,9,57,"1,650",20,"1,171",
  ,목4동제4투,"2,609","1,473",823,560,,15,55,"1,453",20,"1,136",
  ,목4동제5투,"2,571","1,491",751,663,,12,50,"1,476",15,"1,080",
  ,목4동제6투,"2,877","1,806",980,712,,7,90,"1,789",17,"1,071",
  ,소계,"29,900","23,055","10,290","12,033",,53,539,"22,915",140,"6,845",
  ,관내사전투표,"7,404","7,404","4,089","3,129",,17,146,"7,381",23,0,
  ,목5동제1투,"2,261","1,440",569,824,,2,38,"1,433",7,821,
  ,목5동제2투,"2,914","2,116",849,"1,193",,3,58,"2,103",13,798,
  ,목5동제3투,"2,606","1,673",627,986,,3,46,"1,662",11,933,
  ,목5동제4투,"2,294","1,724",608,"1,071",,2,27,"1,708",16,570,
  ,목5동제5투,"2,661","1,592",591,941,,5,41,"1,578",14,"1,069",
  ,목5동제6투,"2,046","1,494",588,854,,3,38,"1,483",11,552,
  ,목5동제7투,"2,589","1,842",741,"1,043",,7,37,"1,828",14,747,
  ,목5동제8투,"2,303","1,632",646,935,,6,30,"1,617",15,671,
  ,목5동제9투,"2,822","2,138",982,"1,057",,5,78,"2,122",16,684,
  ,소계,"15,100","11,136","5,277","5,431",,33,293,"11,034",102,"3,964",
  ,관내사전투표,"3,907","3,907","2,256","1,524",,7,99,"3,886",21,0,
  ,신정1동제1투,"2,642","1,411",687,668,,8,33,"1,396",15,"1,231",
  ,신정1동제2투,"2,652","1,694",759,865,,4,45,"1,673",21,958,
  ,신정1동제3투,"2,141","1,550",546,956,,4,33,"1,539",11,591,
  ,신정1동제4투,"1,952","1,414",542,799,,3,51,"1,395",19,538,
  ,신정1동제5투,"1,806","1,160",487,619,,7,32,"1,145",15,646,
  ,소계,"16,690","12,210","6,901","4,863",,37,302,"12,103",107,"4,480",
  ,관내사전투표,"5,078","5,078","3,307","1,633",,12,94,"5,046",32,0,
  ,신정2동제1투,"3,302","1,876",930,858,,8,59,"1,855",21,"1,426",
  ,신정2동제2투,"2,738","1,803",922,806,,3,48,"1,779",24,935,
  ,신정2동제3투,"2,999","1,896",970,839,,9,65,"1,883",13,"1,103",
  ,신정2동제4투,"2,573","1,557",772,727,,5,36,"1,540",17,"1,016",
  ,소계,"18,456","14,368","6,734","7,136",,31,367,"14,268",100,"4,088",
  ,관내사전투표,"4,125","4,125","2,311","1,699",,6,82,"4,098",27,0,
  ,신정6동제1투,"2,173","1,531",599,861,,2,55,"1,517",14,642,
  ,신정6동제2투,"1,819","1,246",495,718,,5,18,"1,236",10,573,
  ,신정6동제3투,"3,013","2,194",835,"1,292",,5,54,"2,186",8,819,
  ,신정6동제4투,"2,896","2,108","1,056",975,,5,55,"2,091",17,788,
  ,신정6동제5투,"2,603","1,882",926,871,,4,62,"1,863",19,721,
  ,신정6동제6투,"1,827","1,282",512,720,,4,41,"1,277",5,545,
  ,소계,"23,046","16,469","8,273","7,500",,79,443,"16,295",174,"6,577",
  ,관내사전투표,"4,218","4,216","2,560","1,542",,7,89,"4,198",18,2,
  ,신정7동제1투,"2,271","1,308",551,692,,5,46,"1,294",14,963,
  ,신정7동제2투,"2,466","1,779",858,849,,11,47,"1,765",14,687,
  ,신정7동제3투,"3,072","1,870",888,872,,17,65,"1,842",28,"1,202",
  ,신정7동제4투,"2,464","1,611",784,766,,3,42,"1,595",16,853,
  ,신정7동제5투,"2,182","1,304",628,597,,18,39,"1,282",22,878,
  ,신정7동제6투,"2,224","1,311",612,637,,6,28,"1,283",28,913,
  ,신정7동제7투,"2,347","1,714",803,823,,8,59,"1,693",21,633,
  ,신정7동제8투,"1,802","1,356",589,722,,4,28,"1,343",13,446,
  ,잘못 투입·구분된 투표지,0,2,1,0,,0,1,2,0,-2,
  ,  ,  ,  ,"더불어민주당
이용선","미래통합당
손영택",,"우리공화당
박철성","국가혁명배당금당
김명시",계,  ,  ,
양천구을,계,"176,413","117,575","66,759","47,897",,577,789,"116,022","1,553","58,838",
  ,거소·선상투표,242,235,119,104,,3,2,228,7,7,
  ,관외사전투표,"12,015","12,008","7,758","3,897",,55,106,"11,816",192,7,
  ,국외부재자투표,656,179,127,48,,2,1,178,1,477,
  ,국외부재자투표(공관),0,9,4,5,,0,0,9,0,-9,
  ,소계,"18,218","10,893","6,021","4,570",,68,82,"10,741",152,"7,325",
  ,관내사전투표,"3,724","3,722","2,298","1,350",,13,21,"3,682",40,2,
  ,신월1동제1투,"3,342","1,526",779,696,,12,7,"1,494",32,"1,816",
  ,신월1동제2투,"2,677","1,215",606,577,,8,8,"1,199",16,"1,462",
