중앙선거관리위원회 선거통계시스템,,,,,,,,,,,,,
개표현황(투표구별),,,,,,,,,,,,,
[제21대][국회의원선거][국회의원선거][서울특별시][강서구],,,,,,,,,,,,,
선거구명,투표구명,선거인수,투표수,후보자별 득표수,,,,,,,"무효
투표수",기권수,
  ,  ,  ,  ,"더불어민주당
강선우","미래통합당
구상찬",,"국가혁명배당금당
노경휘","무소속
김범태","무소속
백철",계,  ,  ,
강서구갑,계,"173,756","114,516","63,397","43,519",,480,529,"5,490","113,415","1,101","59,240",
  ,거소·선상투표,214,208,95,87,,4,3,13,202,6,6,
  ,관외사전투표,"11,938","11,936","7,376","3,560",,60,65,718,"11,779",157,2,
  ,국외부재자투표,718,195,143,47,,1,0,2,193,2,523,
  ,국외부재자투표(공관),0,5,2,2,,0,1,0,5,0,-5,
  ,소계,"43,467","23,822","13,390","8,788",,104,126,"1,170","23,578",244,"19,645",
  ,관내사전투표,"6,506","6,506","4,192","1,998",,22,25,216,"6,453",53,0,
  ,화곡제1동제1투,"4,814","1,758",915,701,,6,6,113,"1,741",17,"3,056",
  ,화곡제1동제2투,"4,163","1,912","1,071",685,,12,11,108,"1,887",25,"2,251",
  ,화곡제1동제3투,"4,693","1,848",938,765,,9,16,86,"1,814",34,"2,845",
  ,화곡제1동제4투,"3,830","1,722",902,726,,8,11,60,"1,707",15,"2,108",
  ,화곡제1동제5투,"2,844","1,544",806,603,,7,11,103,"1,530",14,"1,300",
  ,화곡제1동제6투,"3,151","1,436",777,553,,8,3,78,"1,419",17,"1,715",
  ,화곡제1동제7투,"3,221","1,653",914,631,,9,5,83,"1,642",11,"1,568",
  ,화곡제1동제8투,"3,209","1,709",855,690,,12,19,122,"1,698",11,"1,500",
  ,화곡제1동제9투,"3,327","1,774",945,694,,6,10,94,"1,749",25,"1,553",
  ,화곡제1동제10투,"3,709","1,960","1,075",742,,5,9,107,"1,938",22,"1,749",
  ,소계,"15,035","8,924","5,191","3,167",,45,45,400,"8,848",76,"6,111",
  ,관내사전투표,"3,437","3,437","2,232","1,057",,14,11,110,"3,424",13,0,
  ,화곡제2동제1투,"1,974","1,005",497,442,,7,4,47,997,8,969,
  ,화곡제2동제2투,"2,718","1,241",693,467,,4,10,55,"1,229",12,"1,477",
