중앙선거관리위원회 선거통계시스템,,,,,,,,,,,,,,
개표현황(투표구별),,,,,,,,,,,,,,
[제21대][국회의원선거][국회의원선거][서울특별시][구로구],,,,,,,,,,,,,,
선거구명,투표구명,선거인수,투표수,후보자별 득표수,,,,,,,,"무효
투표수",기권수,
  ,  ,  ,  ,"더불어민주당
이인영","미래통합당
김재식","정의당
이호성",,"우리공화당
황인규","민중당
유선희","국가혁명배당금당
김장원",계,  ,  ,
구로구갑,계,"205,756","142,081","75,865","55,347","6,722",,576,"1,539",628,"140,677","1,404","63,675",
  ,거소·선상투표,376,364,172,163,8,,4,2,7,356,8,12,
  ,관외사전투표,"12,136","12,127","7,622","3,473",589,,47,161,64,"11,956",171,9,
  ,국외부재자투표,819,237,159,69,4,,0,3,1,236,1,582,
  ,국외부재자투표(공관),0,6,1,5,0,,0,0,0,6,0,-6,
  ,소계,"19,658","13,402","7,081","5,513",447,,51,143,48,"13,283",119,"6,256",
  ,관내사전투표,"4,545","4,545","2,778","1,551",114,,15,51,13,"4,522",23,0,
  ,고척제1동제1투,"3,108","1,807",826,854,64,,10,23,5,"1,782",25,"1,301",
  ,고척제1동제2투,"3,164","1,776",875,797,55,,8,18,10,"1,763",13,"1,388",
  ,고척제1동제3투,"3,643","2,199","1,113",934,104,,4,17,7,"2,179",20,"1,444",
  ,고척제1동제4투,"2,234","1,239",576,582,43,,12,11,6,"1,230",9,995,
  ,고척제1동제5투,"2,964","1,836",913,795,67,,2,23,7,"1,807",29,"1,128",
  ,소계,"22,364","14,453","7,851","5,747",490,,56,113,50,"14,307",146,"7,911",
  ,관내사전투표,"4,084","4,084","2,578","1,313",108,,7,31,11,"4,048",36,0,
  ,고척제2동제1투,"2,771","1,506",797,616,52,,3,15,5,"1,488",18,"1,265",
  ,고척제2동제2투,"2,805","1,747",913,717,77,,10,10,1,"1,728",19,"1,058",
  ,고척제2동제3투,"2,877","1,564",801,641,74,,8,7,14,"1,545",19,"1,313",
  ,고척제2동제4투,"2,344","1,170",595,492,37,,6,14,7,"1,151",19,"1,174",
  ,고척제2동제5투,"2,334","1,240",606,556,43,,7,13,5,"1,230",10,"1,094",
  ,고척제2동제6투,"3,158","1,943",995,853,56,,9,12,3,"1,928",15,"1,215",
  ,고척제2동제7투,"1,991","1,199",566,559,43,,6,11,4,"1,189",10,792,
  ,소계,"26,369","16,771","8,818","6,872",548,,65,194,87,"16,584",187,"9,598",
  ,관내사전투표,"4,782","4,782","2,879","1,633",128,,19,51,26,"4,736",46,0,
  ,개봉제1동제1투,"2,701","1,494",743,666,36,,4,17,11,"1,477",17,"1,207",
  ,개봉제1동제2투,"2,428","1,487",720,670,47,,4,20,11,"1,472",15,941,
  ,개봉제1동제3투,"2,295","1,086",538,469,40,,7,9,7,"1,070",16,"1,209",
  ,개봉제1동제4투,"2,272","1,326",673,539,50,,8,17,9,"1,296",30,946,
  ,개봉제1동제5투,"3,232","1,498",728,667,54,,7,19,4,"1,479",19,"1,734",
  ,개봉제1동제6투,"2,150","1,153",550,518,43,,4,15,7,"1,137",16,997,
  ,개봉제1동제7투,"2,487","1,388",690,608,46,,6,20,7,"1,377",11,"1,099",
  ,개봉제1동제8투,"4,022","2,557","1,297","1,102",104,,6,26,5,"2,540",17,"1,465",
  ,소계,"26,419","18,318","9,890","7,388",614,,81,120,72,"18,165",153,"8,101",
  ,관내사전투표,"5,175","5,175","3,251","1,713",120,,18,35,10,"5,147",28,0,
  ,개봉제2동제1투,"2,888","1,501",783,593,75,,10,6,10,"1,477",24,"1,387",
  ,개봉제2동제2투,"2,658","1,478",815,567,49,,6,13,8,"1,458",20,"1,180",
  ,개봉제2동제3투,"2,530","1,768",779,877,68,,12,10,5,"1,751",17,762,
  ,개봉제2동제4투,"2,847","1,937","1,010",806,69,,10,17,7,"1,919",18,910,
  ,개봉제2동제5투,"2,747","1,812",859,876,50,,5,8,4,"1,802",10,935,
  ,개봉제2동제6투,"2,655","1,719",870,743,67,,9,11,7,"1,707",12,936,
  ,개봉제2동제7투,"2,817","1,595",878,611,56,,6,14,14,"1,579",16,"1,222",
  ,개봉제2동제8투,"2,102","1,333",645,602,60,,5,6,7,"1,325",8,769,
  ,소계,"17,735","11,587","6,445","4,430",379,,61,79,69,"11,463",124,"6,148",
  ,관내사전투표,"4,046","4,046","2,541","1,322",100,,11,22,25,"4,021",25,0,
  ,개봉제3동제1투,"3,141","1,695",886,681,64,,13,18,15,"1,677",18,"1,446",
  ,개봉제3동제2투,"2,861","1,486",748,631,51,,11,9,9,"1,459",27,"1,375",
  ,개봉제3동제3투,"2,870","1,384",722,547,70,,9,9,6,"1,363",21,"1,486",
  ,개봉제3동제4투,"2,481","1,695",837,766,49,,7,12,7,"1,678",17,786,
  ,개봉제3동제5투,"2,336","1,281",711,483,45,,10,9,7,"1,265",16,"1,055",
  ,소계,"19,533","12,724","6,642","5,089",593,,55,143,51,"12,573",151,"6,809",
  ,관내사전투표,"4,559","4,559","2,825","1,418",186,,14,63,10,"4,516",43,0,
  ,오류제1동제1투,"3,114","1,196",629,424,86,,5,26,8,"1,178",18,"1,918",
  ,오류제1동제2투,"2,957","1,591",704,745,85,,11,11,14,"1,570",21,"1,366",
  ,오류제1동제3투,"3,327","1,800",700,979,71,,11,14,6,"1,781",19,"1,527",
  ,오류제1동제4투,"2,629","1,832",853,868,67,,6,13,5,"1,812",20,797,
  ,오류제1동제5투,"2,947","1,746",931,655,98,,8,16,8,"1,716",30,"1,201",
  ,소계,"30,050","20,563","10,886","8,021","1,152",,87,174,84,"20,404",159,"9,487",
  ,관내사전투표,"5,853","5,853","3,697","1,734",307,,19,44,20,"5,821",32,0,
  ,오류제2동제1투,"3,305","1,932",864,927,74,,12,15,16,"1,908",24,"1,373",
  ,오류제2동제2투,"3,482","1,845",769,925,96,,10,24,4,"1,828",17,"1,637",
  ,오류제2동제3투,"3,299","2,144",993,"1,023",79,,11,14,12,"2,132",12,"1,155",
  ,오류제2동제4투,"2,473","1,469",690,628,103,,9,14,12,"1,456",13,"1,004",
  ,오류제2동제5투,"2,245","1,339",637,602,73,,3,13,3,"1,331",8,906,
  ,오류제2동제6투,"3,221","2,031","1,031",808,141,,10,16,6,"2,012",19,"1,190",
  ,오류제2동제7투,"3,451","2,226","1,259",747,167,,9,21,2,"2,205",21,"1,225",
  ,오류제2동제8투,"2,721","1,724",946,627,112,,4,13,9,"1,711",13,997,
  ,소계,"19,889","13,666","6,557","6,245",525,,51,99,63,"13,540",126,"6,223",
  ,관내사전투표,"3,959","3,959","2,397","1,330",148,,9,25,15,"3,924",35,0,
  ,수궁동제1투,"2,876","1,654",432,"1,142",51,,6,10,1,"1,642",12,"1,222",
  ,수궁동제2투,"2,721","1,614",680,809,78,,6,13,9,"1,595",19,"1,107",
  ,수궁동제3투,"3,611","2,140",947,"1,064",72,,13,15,8,"2,119",21,"1,471",
  ,수궁동제4투,"2,511","1,776",862,803,64,,5,14,15,"1,763",13,735,
  ,수궁동제5투,"2,984","1,739",882,737,70,,5,15,11,"1,720",19,"1,245",
  ,수궁동제6투,"1,227",784,357,360,42,,7,7,4,777,7,443,
  ,소계,"10,408","7,861","3,741","2,330","1,373",,18,308,32,"7,802",59,"2,547",
  ,관내사전투표,"3,046","3,045","1,727",739,436,,8,105,9,"3,024",21,1,
  ,항동제1투,"3,299","2,207",864,797,440,,6,70,9,"2,186",21,"1,092",
  ,항동제2투,"2,702","1,769",771,530,364,,2,81,11,"1,759",10,933,
  ,항동제3투,"1,361",840,379,264,133,,2,52,3,833,7,521,
  ,잘못 투입·구분된 투표지,0,2,0,2,0,,0,0,0,2,0,-2,
  ,  ,  ,  ,"더불어민주당
윤건영","미래통합당
김용태","국가혁명배당금당
권영웅",,"무소속
강요식",  ,  ,계,  ,  ,
구로구을,계,"146,644","99,398","56,065","37,018",638,,"4,558",0,0,"98,279","1,119","47,246",
  ,거소·선상투표,176,162,81,45,4,,29,0,0,159,3,14,
  ,관외사전투표,"9,867","9,855","6,247","2,956",81,,438,0,0,"9,722",133,12,
  ,국외부재자투표,726,219,158,58,0,,3,0,0,219,0,507,
  ,국외부재자투표(공관),0,6,1,5,0,,0,0,0,6,0,-6,
  ,소계,"28,061","20,749","10,650","9,089",79,,765,0,0,"20,583",166,"7,312",
  ,관내사전투표,"6,564","6,564","4,044","2,286",13,,174,0,0,"6,517",47,0,
  ,신도림동제1투,"2,609","1,494",734,676,9,,57,0,0,"1,476",18,"1,115",
  ,신도림동제2투,"2,471","1,855",889,886,10,,59,0,0,"1,844",11,616,
  ,신도림동제3투,"2,211","1,533",771,676,10,,65,0,0,"1,522",11,678,
  ,신도림동제4투,"2,572","1,535",754,684,12,,75,0,0,"1,525",10,"1,037",
  ,신도림동제5투,"2,835","1,948",980,843,8,,108,0,0,"1,939",9,887,
  ,신도림동제6투,"2,735","1,897",862,926,7,,91,0,0,"1,886",11,838,
  ,신도림동제7투,"3,219","1,999",869,"1,017",7,,85,0,0,"1,978",21,"1,220",
  ,신도림동제8투,"2,845","1,924",747,"1,095",3,,51,0,0,"1,896",28,921,
  ,소계,"16,603","12,255","6,885","4,584",53,,639,0,0,"12,161",94,"4,348",
  ,관내사전투표,"5,204","5,203","3,329","1,623",17,,200,0,0,"5,169",34,1,
  ,구로제1동제1투,"2,211","1,328",633,586,5,,93,0,0,"1,317",11,883,
  ,구로제1동제2투,"2,036","1,319",628,586,12,,81,0,0,"1,307",12,717,
  ,구로제1동제3투,"2,103","1,337",644,596,3,,83,0,0,"1,326",11,766,
  ,구로제1동제4투,"2,196","1,351",673,582,8,,76,0,0,"1,339",12,845,
  ,구로제1동제5투,"2,853","1,717",978,611,8,,106,0,0,"1,703",14,"1,136",
  ,소계,"20,941","12,032","6,468","4,649",86,,672,0,0,"11,875",157,"8,909",
  ,관내사전투표,"3,707","3,707","2,285","1,203",15,,163,0,0,"3,666",41,0,
  ,구로제2동제1투,"2,231",856,436,338,10,,61,0,0,845,11,"1,375",
  ,구로제2동제2투,"1,498",725,356,310,4,,42,0,0,712,13,773,
  ,구로제2동제3투,"1,793",792,380,347,8,,38,0,0,773,19,"1,001",
  ,구로제2동제4투,"2,212",958,517,363,5,,62,0,0,947,11,"1,254",
  ,구로제2동제5투,"1,694",888,477,350,5,,45,0,0,877,11,806,
  ,구로제2동제6투,"3,040","1,778",912,725,14,,102,0,0,"1,753",25,"1,262",
  ,구로제2동제7투,"1,724",759,367,320,6,,62,0,0,755,4,965,
  ,구로제2동제8투,"2,158","1,127",529,501,12,,67,0,0,"1,109",18,"1,031",
  ,구로제2동제9투,884,442,209,192,7,,30,0,0,438,4,442,
  ,소계,"20,216","12,951","8,204","3,908",99,,585,0,0,"12,796",155,"7,265",
  ,관내사전투표,"5,004","5,002","3,578","1,174",24,,186,0,0,"4,962",40,2,
  ,구로제3동제1투,"1,800",734,433,253,5,,33,0,0,724,10,"1,066",
  ,구로제3동제2투,"1,912",950,537,335,15,,48,0,0,935,15,962,
  ,구로제3동제3투,"2,215","1,319",694,525,8,,77,0,0,"1,304",15,896,
  ,구로제3동제4투,"2,346","1,290",751,452,13,,60,0,0,"1,276",14,"1,056",
  ,구로제3동제5투,"1,821",966,602,297,10,,43,0,0,952,14,855,
  ,구로제3동제6투,"1,952","1,239",668,487,10,,60,0,0,"1,225",14,713,
  ,구로제3동제7투,"3,166","1,451",941,385,14,,78,0,0,"1,418",33,"1,715",
  ,소계,"17,293","10,594","5,972","3,860",92,,512,0,0,"10,436",158,"6,699",
  ,관내사전투표,"3,465","3,465","2,157","1,117",23,,136,0,0,"3,433",32,0,
  ,구로제4동제1투,"2,441","1,203",651,462,12,,56,0,0,"1,181",22,"1,238",
  ,구로제4동제2투,"1,970","1,055",512,433,13,,75,0,0,"1,033",22,915,
  ,구로제4동제3투,"2,594","1,486",847,530,11,,76,0,0,"1,464",22,"1,108",
  ,구로제4동제4투,"1,881",805,404,335,9,,43,0,0,791,14,"1,076",
  ,구로제4동제5투,"3,242","1,662",930,588,16,,92,0,0,"1,626",36,"1,580",
  ,구로제4동제6투,"1,700",918,471,395,8,,34,0,0,908,10,782,
  ,소계,"24,806","16,429","9,191","6,234",100,,728,0,0,"16,253",176,"8,377",
