중앙선거관리위원회 선거통계시스템,,,,,,,,,,,,
개표현황(투표구별),,,,,,,,,,,,
[제21대][국회의원선거][국회의원선거][서울특별시][금천구],,,,,,,,,,,,
선거구명,투표구명,선거인수,투표수,후보자별 득표수,,,,,,"무효
투표수",기권수,
,,,,"더불어민주당
최기상","미래통합당
강성만",,"국가혁명배당금당
박창래","무소속
차성수",계,,,
금천구,계,"207,730","132,177","64,735","46,278",,"1,057","18,365","130,435","1,742","75,553",
  ,거소·선상투표,302,282,106,98,,14,54,272,10,20,
  ,관외사전투표,"12,226","12,223","7,270","3,156",,99,"1,514","12,039",184,3,
  ,국외부재자투표,657,178,128,36,,2,11,177,1,479,
  ,국외부재자투표(공관),0,7,3,3,,0,0,6,1,-7,
  ,소계,"18,625","10,788","5,839","3,353",,99,"1,331","10,622",166,"7,837",
  ,관내사전투표,"3,701","3,700","2,308",898,,30,420,"3,656",44,1,
  ,가산동제1투,"3,569","1,402",685,491,,13,187,"1,376",26,"2,167",
  ,가산동제2투,"2,461","1,112",579,357,,14,134,"1,084",28,"1,349",
  ,가산동제3투,"2,836","1,698",760,709,,8,209,"1,686",12,"1,138",
  ,가산동제4투,"3,140","1,506",777,464,,13,226,"1,480",26,"1,634",
  ,가산동제5투,"1,012",502,234,205,,8,46,493,9,510,
  ,가산동제6투,"1,906",868,496,229,,13,109,847,21,"1,038",
  ,소계,"33,416","20,734","9,999","7,276",,147,"3,067","20,489",245,"12,682",
  ,관내사전투표,"4,656","4,656","2,663","1,208",,27,719,"4,617",39,0,
  ,독산제1동제1투,"3,811","1,615",745,556,,12,277,"1,590",25,"2,196",
  ,독산제1동제2투,"2,651","1,227",610,416,,12,162,"1,200",27,"1,424",
  ,독산제1동제3투,"5,236","2,423","1,201",802,,20,369,"2,392",31,"2,813",
  ,독산제1동제4투,"3,576","2,290","1,089",879,,13,287,"2,268",22,"1,286",
  ,독산제1동제5투,"2,903","1,686",771,602,,23,239,"1,635",51,"1,217",
  ,독산제1동제6투,"3,667","2,337",942,"1,015",,18,337,"2,312",25,"1,330",
