중앙선거관리위원회 선거통계시스템,,,,,,,,,,,,,
개표현황(투표구별),,,,,,,,,,,,,
[제21대][국회의원선거][국회의원선거][서울특별시][영등포구],,,,,,,,,,,,,
선거구명,투표구명,선거인수,투표수,후보자별 득표수,,,,,,,"무효
투표수",기권수,
  ,  ,  ,  ,"더불어민주당
김영주","미래통합당
문병호",,"정의당
정재민","국가혁명배당금당
안성우",  ,계,  ,  ,
영등포구갑,계,"187,997","130,099","72,445","49,292",,"6,267",760,0,"128,764","1,335","57,898",
  ,거소·선상투표,238,229,129,65,,17,7,0,218,11,9,
  ,관외사전투표,"13,901","13,886","8,792","4,096",,688,88,0,"13,664",222,15,
  ,국외부재자투표,"1,039",273,192,67,,12,0,0,271,2,766,
  ,국외부재자투표(공관),0,15,12,3,,0,0,0,15,0,-15,
  ,소계,"18,085","12,125","6,556","4,871",,487,82,0,"11,996",129,"5,960",
  ,관내사전투표,"4,108","4,108","2,517","1,410",,121,22,0,"4,070",38,0,
  ,영등포본동제1투,"2,342","1,393",669,627,,70,10,0,"1,376",17,949,
  ,영등포본동제2투,"1,915","1,030",470,486,,46,18,0,"1,020",10,885,
  ,영등포본동제3투,"1,392",627,284,297,,26,8,0,615,12,765,
  ,영등포본동제4투,"1,906",786,355,378,,38,4,0,775,11,"1,120",
  ,영등포본동제5투,"1,187",601,287,284,,16,4,0,591,10,586,
  ,영등포본동제6투,"2,394","1,660",883,673,,79,8,0,"1,643",17,734,
  ,영등포본동제7투,"2,841","1,920","1,091",716,,91,8,0,"1,906",14,921,
  ,소계,"21,525","12,340","6,600","4,888",,612,99,0,"12,199",141,"9,185",
  ,관내사전투표,"3,195","3,195","2,000",997,,144,24,0,"3,165",30,0,
  ,영등포동제1투,"3,624","1,587",885,553,,106,17,0,"1,561",26,"2,037",
  ,영등포동제2투,"3,228","1,191",605,499,,48,20,0,"1,172",19,"2,037",
  ,영등포동제3투,"2,980","1,725",853,755,,75,18,0,"1,701",24,"1,255",
  ,영등포동제4투,"3,079","1,228",732,396,,82,7,0,"1,217",11,"1,851",
  ,영등포동제5투,"3,092","1,709",799,791,,89,10,0,"1,689",20,"1,383",
