중앙선거관리위원회 선거통계시스템,,,,,,,,,,,,,,,
개표현황(투표구별),,,,,,,,,,,,,,,
[제21대][국회의원선거][국회의원선거][서울특별시][관악구],,,,,,,,,,,,,,,
선거구명,투표구명,선거인수,투표수,후보자별 득표수,,,,,,,,,"무효
투표수",기권수,
  ,  ,  ,  ,"더불어민주당
유기홍","민생당
이승한","정의당
이동영",,"우리공화당
권미성","민중당
송명숙","국가혁명배당금당
김용태","무소속
김성식",계,  ,  ,
관악구갑,계,"243,127","161,860","83,479","2,749","6,306",,"3,477","2,223",947,"50,078","149,259","12,601","81,267",
  ,거소·선상투표,294,285,129,5,9,,4,0,8,51,206,79,9,
  ,관외사전투표,"17,950","17,942","10,803",393,916,,515,272,171,"4,022","17,092",850,8,
  ,국외부재자투표,"1,138",314,209,2,6,,1,0,1,29,248,66,824,
  ,국외부재자투표(공관),0,8,2,0,0,,0,1,0,0,3,5,-8,
  ,소계,"20,833","12,915","6,550",259,559,,317,201,78,"3,750","11,714","1,201","7,918",
  ,관내사전투표,"3,731","3,731","2,281",76,153,,71,61,21,934,"3,597",134,0,
  ,보라매동제1투,"3,075","1,877",778,43,60,,68,17,9,668,"1,643",234,"1,198",
  ,보라매동제2투,"3,033","1,775",850,40,76,,42,29,10,510,"1,557",218,"1,258",
  ,보라매동제3투,"3,834","2,079",940,41,101,,35,31,20,647,"1,815",264,"1,755",
  ,보라매동제4투,"3,602","1,636",799,23,71,,44,26,8,464,"1,435",201,"1,966",
  ,보라매동제5투,"3,558","1,817",902,36,98,,57,37,10,527,"1,667",150,"1,741",
  ,소계,"27,652","17,845","8,972",295,837,,406,188,80,"5,648","16,426","1,419","9,807",
  ,관내사전투표,"5,963","5,963","3,493",109,264,,111,64,27,"1,700","5,768",195,0,
  ,은천동제1투,"3,025","1,548",661,26,75,,48,21,8,522,"1,361",187,"1,477",
  ,은천동제2투,"3,204","1,692",713,34,84,,51,22,10,607,"1,521",171,"1,512",
  ,은천동제3투,"2,807","1,529",625,25,75,,47,12,1,587,"1,372",157,"1,278",
  ,은천동제4투,"2,896","1,971",934,28,99,,39,19,6,709,"1,834",137,925,
  ,은천동제5투,"2,940","1,847",914,28,59,,45,20,10,598,"1,674",173,"1,093",
  ,은천동제6투,"3,252","1,627",787,19,93,,32,17,8,483,"1,439",188,"1,625",
  ,은천동제7투,"3,565","1,668",845,26,88,,33,13,10,442,"1,457",211,"1,897",
  ,소계,"23,936","16,593","8,155",189,421,,318,135,65,"6,152","15,435","1,158","7,343",
  ,관내사전투표,"4,609","4,609","2,730",63,110,,75,31,13,"1,476","4,498",111,0,
  ,성현동제1투,"2,906","1,731",824,24,33,,40,10,4,610,"1,545",186,"1,175",
  ,성현동제2투,"3,720","2,226","1,051",24,66,,38,25,10,832,"2,046",180,"1,494",
  ,성현동제3투,"2,555","1,881",792,15,47,,39,15,6,870,"1,784",97,674,
  ,성현동제4투,"2,847","1,985",823,13,55,,32,11,13,893,"1,840",145,862,
  ,성현동제5투,"2,791","1,788",823,11,51,,35,13,8,723,"1,664",124,"1,003",
  ,성현동제6투,"1,718",779,386,15,18,,3,8,5,266,701,78,939,
  ,성현동제7투,"2,790","1,594",726,24,41,,56,22,6,482,"1,357",237,"1,196",
  ,소계,"13,679","8,575","4,418",146,299,,142,183,60,"2,648","7,896",679,"5,104",
  ,관내사전투표,"3,471","3,471","2,117",60,116,,56,71,21,925,"3,366",105,0,
  ,중앙동제1투,"3,165","1,638",713,33,58,,23,31,20,585,"1,463",175,"1,527",
  ,중앙동제2투,"3,144","1,706",822,22,57,,33,29,13,538,"1,514",192,"1,438",
  ,중앙동제3투,"3,899","1,760",766,31,68,,30,52,6,600,"1,553",207,"2,139",
  ,소계,"12,866","9,172","4,440",117,274,,188,71,47,"3,410","8,547",625,"3,694",
  ,관내사전투표,"3,610","3,610","2,061",50,110,,58,30,15,"1,181","3,505",105,0,
  ,청림동제1투,"2,732","1,657",550,24,64,,36,13,9,762,"1,458",199,"1,075",
  ,청림동제2투,"3,067","1,566",699,20,34,,39,16,12,543,"1,363",203,"1,501",
  ,청림동제3투,"3,457","2,339","1,130",23,66,,55,12,11,924,"2,221",118,"1,118",
  ,소계,"25,251","16,477","8,357",279,584,,314,249,75,"5,551","15,409","1,068","8,774",
  ,관내사전투표,"5,403","5,403","3,230",94,191,,64,95,20,"1,563","5,257",146,0,
  ,행운동제1투,"3,107","1,752",857,39,84,,41,26,12,550,"1,609",143,"1,355",
  ,행운동제2투,"3,553","2,048",929,46,101,,50,30,9,730,"1,895",153,"1,505",
  ,행운동제3투,"3,787","2,086","1,052",24,81,,38,28,14,646,"1,883",203,"1,701",
  ,행운동제4투,"3,518","1,648",771,36,48,,37,35,9,568,"1,504",144,"1,870",
  ,행운동제5투,"2,540","1,349",634,18,44,,23,14,8,497,"1,238",111,"1,191",
  ,행운동제6투,"3,343","2,191",884,22,35,,61,21,3,997,"2,023",168,"1,152",
  ,소계,"27,657","17,352","8,632",297,646,,353,258,98,"5,621","15,905","1,447","10,305",
  ,관내사전투표,"5,150","5,150","3,077",78,190,,82,81,30,"1,431","4,969",181,0,
  ,청룡동제1투,"3,849","1,903",903,44,91,,60,27,15,541,"1,681",222,"1,946",
  ,청룡동제2투,"3,786","1,993",947,31,72,,53,32,10,615,"1,760",233,"1,793",
  ,청룡동제3투,"3,723","2,078",999,44,90,,32,43,10,624,"1,842",236,"1,645",
  ,청룡동제4투,"3,809","2,259","1,042",41,74,,62,25,12,793,"2,049",210,"1,550",
  ,청룡동제5투,"4,474","2,542","1,095",42,83,,49,42,17,981,"2,309",233,"1,932",
  ,청룡동제6투,"2,866","1,427",569,17,46,,15,8,4,636,"1,295",132,"1,439",
  ,소계,"14,069","9,173","4,630",150,356,,162,136,39,"3,008","8,481",692,"4,896",
  ,관내사전투표,"3,884","3,884","2,280",85,161,,60,49,14,"1,127","3,776",108,0,
  ,낙성대동제1투,"3,772","1,950",872,24,65,,39,40,8,649,"1,697",253,"1,822",
  ,낙성대동제2투,"3,255","1,555",684,20,56,,24,25,5,592,"1,406",149,"1,700",
  ,낙성대동제3투,"3,158","1,784",794,21,74,,39,22,12,640,"1,602",182,"1,374",
  ,소계,"22,926","15,166","7,673",244,511,,279,194,89,"4,997","13,987","1,179","7,760",
