중앙선거관리위원회 선거통계시스템,,,,,,,,,,,,
개표현황(투표구별),,,,,,,,,,,,
[제21대][국회의원선거][국회의원선거][서울특별시][서초구],,,,,,,,,,,,
선거구명,투표구명,선거인수,투표수,후보자별 득표수,,,,,,"무효
투표수",기권수,
  ,  ,  ,  ,"더불어민주당
이정근","미래통합당
윤희숙",,"국가혁명배당금당
신방호",  ,계,  ,  ,
서초구갑,계,"162,807","117,502","42,971","72,896",,575,0,"116,442","1,060","45,305",
  ,거소·선상투표,199,192,78,102,,6,0,186,6,7,
  ,관외사전투표,"11,339","11,329","5,553","5,554",,74,0,"11,181",148,10,
  ,국외부재자투표,"1,634",378,188,189,,0,0,377,1,"1,256",
  ,국외부재자투표(공관),0,9,7,2,,0,0,9,0,-9,
  ,소계,"26,589","18,790","6,123","12,413",,102,0,"18,638",152,"7,799",
  ,관내사전투표,"5,646","5,646","2,451","3,134",,21,0,"5,606",40,0,
  ,잠원동제1투,"3,190","1,661",424,"1,217",,9,0,"1,650",11,"1,529",
  ,잠원동제2투,"2,382","1,520",339,"1,161",,9,0,"1,509",11,862,
  ,잠원동제3투,"2,430","1,622",494,"1,105",,8,0,"1,607",15,808,
  ,잠원동제4투,"2,388","1,588",427,"1,138",,9,0,"1,574",14,800,
  ,잠원동제5투,"2,614","1,423",588,803,,18,0,"1,409",14,"1,191",
  ,잠원동제6투,"2,926","1,961",519,"1,407",,16,0,"1,942",19,965,
  ,잠원동제7투,"2,563","1,673",444,"1,206",,5,0,"1,655",18,890,
  ,잠원동제8투,"2,450","1,696",437,"1,242",,7,0,"1,686",10,754,
  ,소계,"9,276","6,885","2,191","4,579",,41,0,"6,811",74,"2,391",
  ,관내사전투표,"2,591","2,591","1,104","1,444",,16,0,"2,564",27,0,
  ,반포본동제1투,"1,989",989,325,648,,7,0,980,9,"1,000",
  ,반포본동제2투,"1,638","1,206",252,934,,8,0,"1,194",12,432,
