중앙선거관리위원회 선거통계시스템,,,,,,,,,,,,,,
개표현황(투표구별),,,,,,,,,,,,,,
[제21대][국회의원선거][국회의원선거][서울특별시][강남구],,,,,,,,,,,,,,
선거구명,투표구명,선거인수,투표수,후보자별 득표수,,,,,,,,"무효
투표수",기권수,
  ,  ,  ,  ,"더불어민주당
김성곤","미래통합당
태구민","민생당
정동희",,"국가혁명배당금당
김정훈",  ,  ,계,  ,  ,
강남구갑,계,"167,537","104,485","40,935","60,324","1,378",,642,0,0,"103,279","1,206","63,052",
  ,거소·선상투표,182,170,58,100,5,,3,0,0,166,4,12,
  ,관외사전투표,"11,982","11,978","6,116","5,457",158,,89,0,0,"11,820",158,4,
  ,국외부재자투표,"1,486",324,152,161,6,,4,0,0,323,1,"1,162",
  ,국외부재자투표(공관),0,12,4,8,0,,0,0,0,12,0,-12,
  ,소계,"13,990","9,441","2,975","6,215",123,,39,0,0,"9,352",89,"4,549",
  ,관내사전투표,"2,716","2,716","1,146","1,511",25,,15,0,0,"2,697",19,0,
  ,신사동제1투,"2,370","1,177",354,788,19,,6,0,0,"1,167",10,"1,193",
  ,신사동제2투,"1,712",843,373,426,23,,3,0,0,825,18,869,
  ,신사동제3투,"1,829","1,008",514,448,22,,5,0,0,989,19,821,
  ,신사동제4투,"2,842","1,925",246,"1,650",13,,4,0,0,"1,913",12,917,
  ,신사동제5투,"2,521","1,772",342,"1,392",21,,6,0,0,"1,761",11,749,
  ,소계,"20,216","10,105","4,940","4,775",164,,80,0,0,"9,959",146,"10,111",
  ,관내사전투표,"2,990","2,990","1,750","1,152",32,,23,0,0,"2,957",33,0,
  ,논현1동제1투,"3,515","1,105",521,527,23,,11,0,0,"1,082",23,"2,410",
  ,논현1동제2투,"3,273","1,450",613,781,17,,12,0,0,"1,423",27,"1,823",
  ,논현1동제3투,"3,661","1,815",693,"1,053",31,,12,0,0,"1,789",26,"1,846",
  ,논현1동제4투,"3,608","1,422",701,649,36,,17,0,0,"1,403",19,"2,186",
