중앙선거관리위원회 선거통계시스템,,,,,,,,,,,,,
개표현황(투표구별),,,,,,,,,,,,,
[제21대][국회의원선거][국회의원선거][서울특별시][송파구],,,,,,,,,,,,,
선거구명,투표구명,선거인수,투표수,후보자별 득표수,,,,,,,"무효
투표수",기권수,
  ,  ,  ,  ,"더불어민주당
조재희","미래통합당
김웅",,"국가혁명배당금당
조은정",  ,  ,계,  ,  ,
송파구갑,계,"159,514","114,985","54,704","58,318",,875,0,0,"113,897","1,088","44,529",
  ,거소·선상투표,177,168,74,79,,5,0,0,158,10,9,
  ,관외사전투표,"10,160","10,154","5,675","4,220",,104,0,0,"9,999",155,6,
  ,국외부재자투표,"1,149",258,128,126,,2,0,0,256,2,891,
  ,국외부재자투표(공관),0,0,0,0,,0,0,0,0,0,0,
  ,소계,"12,273","7,907","4,128","3,598",,92,0,0,"7,818",89,"4,366",
  ,관내사전투표,"3,088","3,087","1,877","1,155",,27,0,0,"3,059",28,1,
  ,풍납1동제1투,"2,320",997,471,495,,20,0,0,986,11,"1,323",
  ,풍납1동제2투,"2,217","1,184",567,592,,11,0,0,"1,170",14,"1,033",
  ,풍납1동제3투,"2,097","1,053",491,531,,15,0,0,"1,037",16,"1,044",
  ,풍납1동제4투,"2,551","1,586",722,825,,19,0,0,"1,566",20,965,
  ,소계,"20,007","13,884","7,124","6,516",,117,0,0,"13,757",127,"6,123",
  ,관내사전투표,"4,760","4,760","2,908","1,792",,35,0,0,"4,735",25,0,
  ,풍납2동제1투,"2,619","1,449",705,698,,22,0,0,"1,425",24,"1,170",
  ,풍납2동제2투,"2,845","1,720",740,950,,9,0,0,"1,699",21,"1,125",
  ,풍납2동제3투,"2,510","1,531",652,847,,14,0,0,"1,513",18,979,
  ,풍납2동제4투,"2,722","1,631",843,756,,17,0,0,"1,616",15,"1,091",
  ,풍납2동제5투,"1,976","1,224",571,636,,6,0,0,"1,213",11,752,
  ,풍납2동제6투,"2,575","1,569",705,837,,14,0,0,"1,556",13,"1,006",
  ,소계,"12,987","9,399","4,581","4,660",,66,0,0,"9,307",92,"3,588",
  ,관내사전투표,"3,640","3,640","2,092","1,510",,14,0,0,"3,616",24,0,
