중앙선거관리위원회 선거통계시스템,,,,,,,,,,,,
개표현황(투표구별),,,,,,,,,,,,
[제21대][국회의원선거][국회의원선거][서울특별시][강동구],,,,,,,,,,,,
선거구명,투표구명,선거인수,투표수,후보자별 득표수,,,,,,"무효
투표수",기권수,
  ,  ,  ,  ,"더불어민주당
진선미","미래통합당
이수희",,"국가혁명배당금당
강옥기",  ,계,  ,  ,
강동구갑,계,"221,217","157,793","80,361","74,441",,"1,231",0,"156,033","1,760","63,424",
  ,거소·선상투표,426,415,204,163,,14,0,381,34,11,
  ,관외사전투표,"15,079","15,072","9,095","5,583",,146,0,"14,824",248,7,
  ,국외부재자투표,"1,085",264,173,87,,2,0,262,2,821,
  ,국외부재자투표(공관),0,11,8,3,,0,0,11,0,-11,
  ,소계,"23,178","16,160","8,846","6,964",,162,0,"15,972",188,"7,018",
  ,관내사전투표,"4,817","4,817","3,020","1,717",,38,0,"4,775",42,0,
  ,강일동제1투,"3,087","1,697",805,846,,20,0,"1,671",26,"1,390",
  ,강일동제2투,"2,707","1,656",786,823,,21,0,"1,630",26,"1,051",
  ,강일동제3투,"2,601","1,606",742,829,,15,0,"1,586",20,995,
  ,강일동제4투,"2,912","1,769",882,841,,18,0,"1,741",28,"1,143",
  ,강일동제5투,"2,601","1,758","1,042",685,,17,0,"1,744",14,843,
  ,강일동제6투,"2,091","1,269",683,554,,23,0,"1,260",9,822,
  ,강일동제7투,"2,362","1,588",886,669,,10,0,"1,565",23,774,
  ,소계,"19,860","14,569","6,825","7,545",,70,0,"14,440",129,"5,291",
  ,관내사전투표,"5,353","5,353","3,002","2,289",,22,0,"5,313",40,0,
  ,상일동제1투,"4,905","3,163","1,372","1,751",,14,0,"3,137",26,"1,742",
  ,상일동제2투,"2,055","1,136",519,591,,8,0,"1,118",18,919,
  ,상일동제3투,"2,358","1,468",579,859,,12,0,"1,450",18,890,
  ,상일동제4투,"2,645","1,674",695,965,,7,0,"1,667",7,971,
  ,상일동제5투,"2,544","1,775",658,"1,090",,7,0,"1,755",20,769,
  ,소계,"20,356","14,500","6,878","7,355",,102,0,"14,335",165,"5,856",
  ,관내사전투표,"4,075","4,075","2,319","1,693",,26,0,"4,038",37,0,
  ,명일제1동제1투,"3,147","1,795",794,948,,22,0,"1,764",31,"1,352",
  ,명일제1동제2투,"3,407","2,197",891,"1,255",,21,0,"2,167",30,"1,210",
  ,명일제1동제3투,"2,810","1,988",788,"1,174",,7,0,"1,969",19,822,
  ,명일제1동제4투,"3,452","2,290","1,051","1,204",,8,0,"2,263",27,"1,162",
  ,명일제1동제5투,"3,465","2,155","1,035","1,081",,18,0,"2,134",21,"1,310",
  ,소계,"13,578","10,505","4,749","5,605",,68,0,"10,422",83,"3,073",
  ,관내사전투표,"3,616","3,616","1,922","1,656",,20,0,"3,598",18,0,
  ,명일제2동제1투,"2,335","1,697",728,950,,10,0,"1,688",9,638,
  ,명일제2동제2투,"2,355","1,406",605,761,,16,0,"1,382",24,949,
  ,명일제2동제3투,"2,720","1,937",834,"1,074",,14,0,"1,922",15,783,
  ,명일제2동제4투,"2,552","1,849",660,"1,164",,8,0,"1,832",17,703,
  ,소계,"18,842","13,970","6,875","6,885",,83,0,"13,843",127,"4,872",
  ,관내사전투표,"4,603","4,603","2,669","1,875",,20,0,"4,564",39,0,
  ,고덕제1동제1투,"1,963","1,191",607,570,,5,0,"1,182",9,772,
  ,고덕제1동제2투,"2,013","1,303",642,636,,10,0,"1,288",15,710,
  ,고덕제1동제3투,"1,945","1,230",530,672,,14,0,"1,216",14,715,
  ,고덕제1동제4투,"2,183","1,207",525,642,,19,0,"1,186",21,976,
  ,고덕제1동제5투,"3,098","2,272",917,"1,338",,6,0,"2,261",11,826,
  ,고덕제1동제6투,"3,037","2,164",985,"1,152",,9,0,"2,146",18,873,
  ,소계,"15,858","11,589","4,841","6,542",,90,0,"11,473",116,"4,269",
  ,관내사전투표,"3,901","3,900","1,994","1,842",,34,0,"3,870",30,1,
  ,고덕제2동제1투,"2,261","1,107",447,627,,15,0,"1,089",18,"1,154",
